,id,x_min_S,y_min_S,w_min_S,h_min_S,bearing_min_S,confidence_min_S,name_min_S,frameId_min_S,timestamp_min_S,first_Area_S,x_max_S,y_max_S,w_max_S,h_max_S,bearing_max_S,confidence_max_S,name_max_S,frameId_max_S,timestamp_max_S,last_Area_S,stayTime_S,Path_S,x_min_E,y_min_E,w_min_E,h_min_E,bearing_min_E,confidence_min_E,name_min_E,frameId_min_E,timestamp_min_E,first_Area_E,x_max_E,y_max_E,w_max_E,h_max_E,bearing_max_E,confidence_max_E,name_max_E,frameId_max_E,timestamp_max_E,last_Area_E,stayTime_E,Path_E,stayTime,Path,o'clock
9,815398,563,28,15,39,,57,person,8835428,2022-06-27 09:01:20.303,A4,646,80,19,40,122.0,70,person,8835446,2022-06-27 09:01:23.036,A2,2.733,A4_to_A2,563,28,15,39,,57,person,8835428,2022-06-27 09:01:20.303,A4,646,80,19,40,122.0,70,person,8835446,2022-06-27 09:01:23.036,A2,2.733,A4_to_A2,2.733,A4_to_A2,09
22,815414,117,124,24,33,,36,person,8835999,2022-06-27 09:02:45.460,A1,636,341,53,68,125.0,27,person,8836076,2022-06-27 09:02:57.004,A2,11.544,A1_to_A2,631,352,18,33,,29,car,8836077,2022-06-27 09:02:57.179,A2,631,352,18,33,,29,car,8836082,2022-06-27 09:02:57.840,A2,0.661,A2_to_A2,12.38,A1_to_A2,09
29,815424,519,284,53,58,,87,person,8836459,2022-06-27 09:03:53.011,A2,89,121,18,24,272.0,40,person,8836551,2022-06-27 09:04:06.441,A1,13.430000000000001,A2_to_A1,93,123,23,30,,25,person,8836574,2022-06-27 09:04:09.756,A1,88,116,29,26,325.0,32,person,8836589,2022-06-27 09:04:11.918,A1,2.162,A1_to_A1,18.907,A2_to_A1,09
39,815436,133,308,63,53,,70,person,8836736,2022-06-27 09:04:33.859,A3,416,14,22,35,68.0,65,person,8836810,2022-06-27 09:04:44.973,A2,11.114,A3_to_A2,133,308,63,53,,70,person,8836736,2022-06-27 09:04:33.859,A3,416,14,22,35,68.0,65,person,8836810,2022-06-27 09:04:44.973,A2,11.114,A3_to_A2,11.114,A3_to_A2,09
40,815437,158,207,53,68,,32,person,8836754,2022-06-27 09:04:36.526,other,374,33,36,69,56.0,94,person,8836792,2022-06-27 09:04:42.290,A2,5.764,other_to_A2,158,207,53,68,,32,person,8836754,2022-06-27 09:04:36.526,other,374,33,36,69,56.0,94,person,8836792,2022-06-27 09:04:42.290,A2,5.764,other_to_A2,5.764,other_to_A2,09
46,815444,91,242,42,39,,33,person,8837098,2022-06-27 09:05:27.475,A3,91,242,42,39,,33,person,8837103,2022-06-27 09:05:28.152,A3,0.677,A3_to_A3,127,193,49,71,,38,person,8837115,2022-06-27 09:05:29.857,other,115,144,30,33,126.0,47,person,8837171,2022-06-27 09:05:38.108,A1,8.251000000000001,other_to_A1,10.633000000000001,A3_to_A1,09
47,815446,54,249,46,48,,26,person,8837108,2022-06-27 09:05:28.817,other,98,247,50,43,88.0,32,person,8837124,2022-06-27 09:05:31.200,A3,2.383,other_to_A3,54,249,46,48,,26,person,8837108,2022-06-27 09:05:28.817,other,98,247,50,43,88.0,32,person,8837124,2022-06-27 09:05:31.200,A3,2.383,other_to_A3,2.383,other_to_A3,09
48,815448,110,215,47,44,,51,person,8837130,2022-06-27 09:05:32.043,A3,137,159,40,46,25.0,37,person,8837147,2022-06-27 09:05:34.575,A1,2.532,A3_to_A1,102,139,29,38,,38,person,8837175,2022-06-27 09:05:38.586,A1,99,132,31,41,336.0,27,person,8837179,2022-06-27 09:05:39.269,A1,0.683,A1_to_A1,7.226000000000001,A3_to_A1,09
86,815492,608,299,63,46,,32,person,8838213,2022-06-27 09:08:10.508,A2,340,385,110,86,220.0,51,person,8838248,2022-06-27 09:08:15.738,A3,5.23,A2_to_A3,608,299,63,46,,32,person,8838213,2022-06-27 09:08:10.508,A2,340,385,110,86,220.0,51,person,8838248,2022-06-27 09:08:15.738,A3,5.23,A2_to_A3,5.23,A2_to_A3,09
102,815511,381,354,50,64,,60,person,8838450,2022-06-27 09:08:45.537,other,259,488,55,24,218.0,28,person,8838473,2022-06-27 09:08:48.877,A3,3.3400000000000003,other_to_A3,381,354,50,64,,60,person,8838450,2022-06-27 09:08:45.537,other,259,488,55,24,218.0,28,person,8838473,2022-06-27 09:08:48.877,A3,3.3400000000000003,other_to_A3,3.3400000000000003,other_to_A3,09
