,id,x_min_S,y_min_S,w_min_S,h_min_S,bearing_min_S,confidence_min_S,name_min_S,frameId_min_S,timestamp_min_S,first_Area_S,x_max_S,y_max_S,w_max_S,h_max_S,bearing_max_S,confidence_max_S,name_max_S,frameId_max_S,timestamp_max_S,last_Area_S,stayTime_S,Path_S,x_min_E,y_min_E,w_min_E,h_min_E,bearing_min_E,confidence_min_E,name_min_E,frameId_min_E,timestamp_min_E,first_Area_E,x_max_E,y_max_E,w_max_E,h_max_E,bearing_max_E,confidence_max_E,name_max_E,frameId_max_E,timestamp_max_E,last_Area_E,stayTime_E,Path_E,stayTime,Path,o'clock
0,258914,232,173,94,51,176.0,72,person,1440585,2022-07-02 09:00:10.682,other,194,205,63,58,229.0,68,person,1440590,2022-07-02 09:00:11.410,A1,0.7280000000000001,other_to_A1,178,227,57,46,,36,person,1440594,2022-07-02 09:00:11.992,other,148,269,69,50,211.0,28,person,1440602,2022-07-02 09:00:13.153,A3,1.161,other_to_A3,2.471,other_to_A3,09
2,258923,277,176,63,77,,53,person,1440593,2022-07-02 09:00:11.847,A2,156,342,63,46,132.0,29,person,1440618,2022-07-02 09:00:15.473,A3,3.6260000000000003,A2_to_A3,277,176,63,77,,53,person,1440593,2022-07-02 09:00:11.847,A2,156,342,63,46,132.0,29,person,1440618,2022-07-02 09:00:15.473,A3,3.6260000000000003,A2_to_A3,3.6260000000000003,A2_to_A3,09
19,258945,96,225,41,40,,39,person,1441522,2022-07-02 09:02:27.513,A3,109,121,24,30,358.0,27,person,1441564,2022-07-02 09:02:33.608,A1,6.095000000000001,A3_to_A1,103,116,30,33,,33,person,1441570,2022-07-02 09:02:34.480,A1,102,116,30,30,298.0,30,person,1441576,2022-07-02 09:02:35.355,A1,0.875,A1_to_A1,7.8420000000000005,A3_to_A1,09
20,258946,555,23,20,43,,36,person,1441545,2022-07-02 09:02:30.852,A4,206,407,76,31,217.0,70,person,1441604,2022-07-02 09:02:39.428,A3,8.576,A4_to_A3,555,23,20,43,,36,person,1441545,2022-07-02 09:02:30.852,A4,206,407,76,31,217.0,70,person,1441604,2022-07-02 09:02:39.428,A3,8.576,A4_to_A3,8.576,A4_to_A3,09
21,258948,623,310,32,56,,28,person,1441567,2022-07-02 09:02:34.044,A2,176,126,38,47,280.0,33,person,1441623,2022-07-02 09:02:42.186,A1,8.142000000000001,A2_to_A1,623,310,32,56,,28,person,1441567,2022-07-02 09:02:34.044,A2,176,126,38,47,280.0,33,person,1441623,2022-07-02 09:02:42.186,A1,8.142000000000001,A2_to_A1,8.142000000000001,A2_to_A1,09
28,258958,614,361,50,42,,31,person,1441875,2022-07-02 09:03:18.824,A2,612,351,53,47,347.0,35,person,1441879,2022-07-02 09:03:19.402,A2,0.5780000000000001,A2_to_A2,91,101,33,48,,37,person,1441979,2022-07-02 09:03:33.912,A1,91,101,33,48,,37,person,1441981,2022-07-02 09:03:34.200,A1,0.28800000000000003,A1_to_A1,15.376000000000001,A2_to_A1,09
54,258992,256,271,71,56,,43,person,1443710,2022-07-02 09:07:45.298,other,214,273,97,64,266.0,34,person,1443713,2022-07-02 09:07:45.733,A3,0.43500000000000005,other_to_A3,256,271,71,56,,43,person,1443710,2022-07-02 09:07:45.298,other,214,273,97,64,266.0,34,person,1443713,2022-07-02 09:07:45.733,A3,0.43500000000000005,other_to_A3,0.43500000000000005,other_to_A3,09
58,258999,249,11,29,23,,26,person,1443781,2022-07-02 09:07:55.592,A1,249,11,29,23,,26,person,1443783,2022-07-02 09:07:55.884,A1,0.29200000000000004,A1_to_A1,229,30,37,21,,46,motorbike,1443795,2022-07-02 09:07:57.636,A1,527,34,17,27,90.0,52,motorbike,1443805,2022-07-02 09:07:59.088,A2,1.4520000000000002,A1_to_A2,3.496,A1_to_A2,09
68,259012,138,254,49,43,,28,person,1443853,2022-07-02 09:08:06.050,A3,217,148,39,55,15.0,27,person,1443875,2022-07-02 09:08:09.242,A1,3.192,A3_to_A1,450,7,17,15,,30,person,1443961,2022-07-02 09:08:21.712,A2,450,7,17,15,,30,person,1443963,2022-07-02 09:08:22.005,A2,0.29300000000000004,A2_to_A2,15.955000000000002,A3_to_A2,09
87,259039,118,292,65,44,,32,person,1444399,2022-07-02 09:09:25.259,A3,165,243,58,62,50.0,27,person,1444411,2022-07-02 09:09:26.994,A3,1.735,A3_to_A3,631,113,18,47,,38,person,1444489,2022-07-02 09:09:38.306,A2,630,112,19,41,346.0,37,person,1444494,2022-07-02 09:09:39.032,A2,0.7260000000000001,A2_to_A2,13.773000000000001,A3_to_A2,09
126,259093,152,152,25,32,,28,person,1446543,2022-07-02 09:14:38.757,A1,152,153,26,33,176.0,30,person,1446546,2022-07-02 09:14:39.204,A1,0.447,A1_to_A1,134,171,43,66,,47,person,1446552,2022-07-02 09:14:40.080,A1,112,218,46,45,213.0,33,person,1446563,2022-07-02 09:14:41.707,A3,1.627,A1_to_A3,2.95,A1_to_A3,09
133,259102,607,358,45,37,,33,person,1446812,2022-07-02 09:15:18.244,A2,183,129,40,41,300.0,65,person,1446861,2022-07-02 09:15:25.462,A1,7.218000000000001,A2_to_A1,165,122,35,38,,55,person,1446862,2022-07-02 09:15:25.612,A1,117,114,24,28,278.0,26,person,1446873,2022-07-02 09:15:27.225,A1,1.6130000000000002,A1_to_A1,8.981,A2_to_A1,09
139,259111,107,209,53,53,,58,person,1446844,2022-07-02 09:15:22.957,A3,114,207,49,52,72.0,37,person,1446847,2022-07-02 09:15:23.389,other,0.43200000000000005,A3_to_other,91,211,54,74,,29,person,1446850,2022-07-02 09:15:23.839,other,116,180,45,67,137.0,61,person,1446863,2022-07-02 09:15:25.755,other,1.9160000000000001,other_to_other,2.798,A3_to_other,09
147,259127,109,208,43,49,,33,person,1447036,2022-07-02 09:15:51.176,other,112,205,40,53,40.0,29,person,1447040,2022-07-02 09:15:51.772,other,0.5960000000000001,other_to_other,105,114,36,33,,26,person,1447115,2022-07-02 09:16:02.804,A1,105,114,36,33,,26,person,1447117,2022-07-02 09:16:03.094,A1,0.29000000000000004,A1_to_A1,11.918000000000001,other_to_A1,09
151,259133,115,224,28,42,,27,person,1447067,2022-07-02 09:15:55.740,A3,116,205,38,47,3.0,34,person,1447071,2022-07-02 09:15:56.326,other,0.5860000000000001,A3_to_other,114,190,64,82,,33,person,1447076,2022-07-02 09:15:57.063,other,112,194,73,78,202.0,31,person,1447079,2022-07-02 09:15:57.507,other,0.444,other_to_other,1.7670000000000001,A3_to_other,09
161,259154,109,307,67,52,,61,person,1447879,2022-07-02 09:17:54.907,A3,89,261,57,57,297.0,49,person,1447885,2022-07-02 09:17:55.788,A3,0.881,A3_to_A3,106,254,53,56,,38,person,1447886,2022-07-02 09:17:55.934,A3,110,193,41,56,5.0,31,person,1447898,2022-07-02 09:17:57.697,other,1.7630000000000001,A3_to_other,2.79,A3_to_other,09
163,259157,141,196,42,52,,41,person,1447899,2022-07-02 09:17:57.844,other,143,191,44,66,20.0,29,person,1447903,2022-07-02 09:17:58.433,A1,0.5890000000000001,other_to_A1,139,188,45,63,,34,person,1447904,2022-07-02 09:17:58.581,A1,159,105,37,36,55.0,30,person,1447938,2022-07-02 09:18:03.602,A1,5.021,A1_to_A1,5.758,other_to_A1,09
172,259172,93,194,58,72,,27,person,1448058,2022-07-02 09:18:21.340,other,144,106,27,35,63.0,59,person,1448093,2022-07-02 09:18:26.504,A1,5.164000000000001,other_to_A1,130,159,23,29,,33,person,1448131,2022-07-02 09:18:32.101,A1,131,162,25,27,160.0,31,person,1448134,2022-07-02 09:18:32.544,A1,0.443,A1_to_A1,11.204,other_to_A1,09
186,259190,102,125,28,28,,28,person,1448534,2022-07-02 09:19:30.698,A1,103,126,26,29,158.0,32,person,1448538,2022-07-02 09:19:31.278,A1,0.5800000000000001,A1_to_A1,118,135,23,26,,30,person,1448588,2022-07-02 09:19:38.522,A1,524,305,47,36,108.0,29,person,1448661,2022-07-02 09:19:49.101,A2,10.579,A1_to_A2,18.403000000000002,A1_to_A2,09
196,259209,286,447,47,47,,29,person,1448742,2022-07-02 09:20:00.939,A3,433,322,33,57,59.0,36,person,1448759,2022-07-02 09:20:03.441,A2,2.5020000000000002,A3_to_A2,286,447,47,47,,29,person,1448742,2022-07-02 09:20:00.939,A3,433,322,33,57,59.0,36,person,1448759,2022-07-02 09:20:03.441,A2,2.5020000000000002,A3_to_A2,2.5020000000000002,A3_to_A2,09
203,259216,407,211,32,44,,30,person,1448876,2022-07-02 09:20:20.657,A2,303,176,37,56,273.0,45,person,1448887,2022-07-02 09:20:22.276,A2,1.619,A2_to_A2,119,112,28,31,,35,person,1448941,2022-07-02 09:20:30.231,A1,119,112,26,29,85.0,42,person,1448944,2022-07-02 09:20:30.674,A1,0.443,A1_to_A1,10.017000000000001,A2_to_A1,09
215,259235,388,357,58,39,,40,person,1449612,2022-07-02 09:22:08.052,other,426,320,57,68,356.0,48,person,1449624,2022-07-02 09:22:09.799,A2,1.747,other_to_A2,299,447,25,30,,25,person,1449657,2022-07-02 09:22:14.587,A3,297,446,21,23,307.0,36,person,1449660,2022-07-02 09:22:15.024,A3,0.437,A3_to_A3,6.972,other_to_A3,09
228,259260,182,206,39,44,,41,person,1449941,2022-07-02 09:22:55.813,A1,243,154,58,56,58.0,38,person,1449950,2022-07-02 09:22:57.115,other,1.302,A1_to_other,259,125,34,44,,33,person,1449953,2022-07-02 09:22:57.549,A1,290,108,47,45,61.0,72,person,1449957,2022-07-02 09:22:58.130,other,0.5810000000000001,A1_to_other,2.317,A1_to_other,09
