,id,x_min_S,y_min_S,w_min_S,h_min_S,bearing_min_S,confidence_min_S,name_min_S,frameId_min_S,timestamp_min_S,first_Area_S,x_max_S,y_max_S,w_max_S,h_max_S,bearing_max_S,confidence_max_S,name_max_S,frameId_max_S,timestamp_max_S,last_Area_S,stayTime_S,Path_S,x_min_E,y_min_E,w_min_E,h_min_E,bearing_min_E,confidence_min_E,name_min_E,frameId_min_E,timestamp_min_E,first_Area_E,x_max_E,y_max_E,w_max_E,h_max_E,bearing_max_E,confidence_max_E,name_max_E,frameId_max_E,timestamp_max_E,last_Area_E,stayTime_E,Path_E,stayTime,Path,o'clock
4,4,57,206,25,37,,25,person,4,2022-07-03 23:48:56.937,other,89,351,74,138,47.0,36,bus,9,2022-07-03 23:51:29.436,A3,152.49900000000002,other_to_A3,57,206,25,37,,25,person,4,2022-07-03 23:48:56.937,other,89,351,74,138,47.0,36,bus,9,2022-07-03 23:51:29.436,A3,152.49900000000002,other_to_A3,152.49900000000002,other_to_A3,23
6,6,69,246,22,30,,27,person,12,2022-07-03 23:48:58.105,other,89,352,68,135,,26,bus,13,2022-07-03 23:51:30.023,A3,151.918,other_to_A3,69,246,22,30,,27,person,12,2022-07-03 23:48:58.105,other,89,352,68,135,,26,bus,13,2022-07-03 23:51:30.023,A3,151.918,other_to_A3,151.918,other_to_A3,23
8,8,58,206,24,37,,27,person,17,2022-07-03 23:48:58.833,other,88,351,72,136,249.0,50,bus,26,2022-07-03 23:51:31.931,A3,153.098,other_to_A3,58,206,24,37,,27,person,17,2022-07-03 23:48:58.833,other,88,351,72,136,249.0,50,bus,26,2022-07-03 23:51:31.931,A3,153.098,other_to_A3,153.098,other_to_A3,23
9,9,58,206,23,34,,25,person,30,2022-07-03 23:49:00.752,other,310,13,52,28,,26,car,31,2022-07-03 23:51:32.664,A1,151.912,other_to_A1,58,206,23,34,,25,person,30,2022-07-03 23:49:00.752,other,310,13,52,28,,26,car,31,2022-07-03 23:51:32.664,A1,151.912,other_to_A1,151.912,other_to_A1,23
15,15,57,206,24,35,,31,person,63,2022-07-03 23:49:05.633,other,310,13,53,28,,28,car,58,2022-07-03 23:51:36.636,A1,151.00300000000001,other_to_A1,57,206,24,35,,31,person,63,2022-07-03 23:49:05.633,other,310,13,53,28,,28,car,58,2022-07-03 23:51:36.636,A1,151.00300000000001,other_to_A1,151.00300000000001,other_to_A1,23
16,16,57,206,24,36,,37,person,72,2022-07-03 23:49:06.981,other,310,13,54,28,,30,car,67,2022-07-03 23:51:37.970,A1,150.989,other_to_A1,57,206,24,36,,37,person,72,2022-07-03 23:49:06.981,other,310,13,54,28,,30,car,67,2022-07-03 23:51:37.970,A1,150.989,other_to_A1,150.989,other_to_A1,23
32,32,140,33,33,21,,26,person,150,2022-07-03 23:49:18.567,A1,58,206,24,34,307.0,27,person,143,2022-07-03 23:51:49.101,other,150.53400000000002,A1_to_other,140,33,33,21,,26,person,150,2022-07-03 23:49:18.567,A1,58,206,24,34,307.0,27,person,143,2022-07-03 23:51:49.101,other,150.53400000000002,A1_to_other,150.53400000000002,A1_to_other,23
33,33,139,29,15,21,,47,person,153,2022-07-03 23:49:19.015,A1,67,246,23,30,,27,person,132,2022-07-03 23:51:47.492,other,148.477,A1_to_other,139,29,15,21,,47,person,153,2022-07-03 23:49:19.015,A1,67,246,23,30,,27,person,132,2022-07-03 23:51:47.492,other,148.477,A1_to_other,148.477,A1_to_other,23
35,35,68,246,22,31,,25,person,177,2022-07-03 23:49:22.563,other,84,351,81,144,316.0,28,bus,156,2022-07-03 23:51:50.992,A3,148.429,other_to_A3,68,246,22,31,,25,person,177,2022-07-03 23:49:22.563,other,84,351,81,144,316.0,28,bus,156,2022-07-03 23:51:50.992,A3,148.429,other_to_A3,148.429,other_to_A3,23
44,44,68,246,24,30,,26,person,292,2022-07-03 23:49:39.582,other,310,13,50,28,87.0,39,car,193,2022-07-03 23:51:56.375,A1,136.793,other_to_A1,68,246,24,30,,26,person,292,2022-07-03 23:49:39.582,other,310,13,50,28,87.0,39,car,193,2022-07-03 23:51:56.375,A1,136.793,other_to_A1,136.793,other_to_A1,23
