,id,x_min_S,y_min_S,w_min_S,h_min_S,bearing_min_S,confidence_min_S,name_min_S,frameId_min_S,timestamp_min_S,first_Area_S,x_max_S,y_max_S,w_max_S,h_max_S,bearing_max_S,confidence_max_S,name_max_S,frameId_max_S,timestamp_max_S,last_Area_S,stayTime_S,Path_S,x_min_E,y_min_E,w_min_E,h_min_E,bearing_min_E,confidence_min_E,name_min_E,frameId_min_E,timestamp_min_E,first_Area_E,x_max_E,y_max_E,w_max_E,h_max_E,bearing_max_E,confidence_max_E,name_max_E,frameId_max_E,timestamp_max_E,last_Area_E,stayTime_E,Path_E,stayTime,Path,o'clock
22,26,623,362,34,38,,31,person,264,2022-06-28 09:13:38.164,A2,115,148,40,45,282.0,34,person,343,2022-06-28 09:13:49.674,A1,11.510000000000002,A2_to_A1,106,143,38,35,,37,person,347,2022-06-28 09:13:50.250,A1,99,141,31,34,278.0,29,person,352,2022-06-28 09:13:50.977,A1,0.7270000000000001,A1_to_A1,12.813,A2_to_A1,09
26,35,116,117,22,32,,26,person,390,2022-06-28 09:13:56.624,A1,136,122,28,36,106.0,32,person,401,2022-06-28 09:13:58.237,A1,1.6130000000000002,A1_to_A1,134,123,29,35,,50,person,402,2022-06-28 09:13:58.388,A1,138,198,39,53,188.0,35,person,426,2022-06-28 09:14:01.957,other,3.5690000000000004,A1_to_other,5.333,A1_to_other,09
29,39,141,41,28,28,,30,person,568,2022-06-28 09:14:22.946,A1,691,148,60,132,109.0,79,car,591,2022-06-28 09:14:26.337,A2,3.391,A1_to_A2,141,41,28,28,,30,person,568,2022-06-28 09:14:22.946,A1,691,148,60,132,109.0,79,car,591,2022-06-28 09:14:26.337,A2,3.391,A1_to_A2,3.391,A1_to_A2,09
32,42,120,122,26,30,,41,person,722,2022-06-28 09:14:45.792,A1,128,189,31,38,204.0,28,person,749,2022-06-28 09:14:49.777,other,3.9850000000000003,A1_to_other,120,122,26,30,,41,person,722,2022-06-28 09:14:45.792,A1,128,189,31,38,204.0,28,person,749,2022-06-28 09:14:49.777,other,3.9850000000000003,A1_to_other,3.9850000000000003,A1_to_other,09
50,68,89,97,28,36,,40,person,1263,2022-06-28 09:16:04.906,A1,160,232,32,38,157.0,34,person,1331,2022-06-28 09:16:14.832,other,9.926,A1_to_other,89,97,28,36,,40,person,1263,2022-06-28 09:16:04.906,A1,160,232,32,38,157.0,34,person,1331,2022-06-28 09:16:14.832,other,9.926,A1_to_other,9.926,A1_to_other,09
58,79,91,196,51,74,,29,person,1319,2022-06-28 09:16:13.072,other,104,213,63,79,193.0,29,person,1331,2022-06-28 09:16:14.832,A3,1.76,other_to_A3,91,196,51,74,,29,person,1319,2022-06-28 09:16:13.072,other,104,213,63,79,193.0,29,person,1331,2022-06-28 09:16:14.832,A3,1.76,other_to_A3,1.76,other_to_A3,09
59,80,144,126,37,44,,46,person,1320,2022-06-28 09:16:13.218,A1,97,254,49,50,210.0,30,person,1343,2022-06-28 09:16:16.574,A3,3.3560000000000003,A1_to_A3,105,263,61,45,,33,person,1344,2022-06-28 09:16:16.723,A3,114,279,76,45,149.0,47,person,1349,2022-06-28 09:16:17.447,A3,0.7240000000000001,A3_to_A3,4.229,A1_to_A3,09
63,86,403,13,35,28,,27,person,1605,2022-06-28 09:16:54.745,A2,103,340,54,78,205.0,54,person,1691,2022-06-28 09:17:07.263,A3,12.518,A2_to_A3,403,13,35,28,,27,person,1605,2022-06-28 09:16:54.745,A2,103,340,54,78,205.0,54,person,1691,2022-06-28 09:17:07.263,A3,12.518,A2_to_A3,12.518,A2_to_A3,09
69,92,544,303,33,61,,61,person,1644,2022-06-28 09:17:00.444,A2,193,128,44,48,264.0,54,person,1685,2022-06-28 09:17:06.394,A1,5.95,A2_to_A1,142,113,25,32,,34,person,1693,2022-06-28 09:17:07.556,A1,113,111,28,35,281.0,26,person,1712,2022-06-28 09:17:10.321,A1,2.765,A1_to_A1,9.877,A2_to_A1,09
75,105,632,87,16,46,,91,person,1738,2022-06-28 09:17:14.113,A2,533,13,18,45,301.0,27,person,1757,2022-06-28 09:17:16.885,other,2.7720000000000002,A2_to_other,632,87,16,46,,91,person,1738,2022-06-28 09:17:14.113,A2,533,13,18,45,301.0,27,person,1757,2022-06-28 09:17:16.885,other,2.7720000000000002,A2_to_other,2.7720000000000002,A2_to_other,09
