,id,x_min_S,y_min_S,w_min_S,h_min_S,bearing_min_S,confidence_min_S,name_min_S,frameId_min_S,timestamp_min_S,first_Area_S,x_max_S,y_max_S,w_max_S,h_max_S,bearing_max_S,confidence_max_S,name_max_S,frameId_max_S,timestamp_max_S,last_Area_S,stayTime_S,Path_S,x_min_E,y_min_E,w_min_E,h_min_E,bearing_min_E,confidence_min_E,name_min_E,frameId_min_E,timestamp_min_E,first_Area_E,x_max_E,y_max_E,w_max_E,h_max_E,bearing_max_E,confidence_max_E,name_max_E,frameId_max_E,timestamp_max_E,last_Area_E,stayTime_E,Path_E,stayTime,Path,o'clock
1,409014,66,246,21,30,301.0,38,person,4710439,2022-06-20 09:00:09.928,other,65,247,23,32,265.0,26,person,4710443,2022-06-20 09:00:10.516,other,0.5880000000000001,other_to_other,64,246,26,31,,26,person,4710457,2022-06-20 09:00:12.552,other,57,272,35,46,172.0,29,person,4710474,2022-06-20 09:00:15.026,A3,2.474,other_to_A3,5.098000000000001,other_to_A3,09
51,409099,623,44,13,29,,41,person,4711326,2022-06-20 09:02:19.388,A4,309,415,55,50,219.0,79,person,4711409,2022-06-20 09:02:31.458,A3,12.07,A4_to_A3,623,44,13,29,,41,person,4711326,2022-06-20 09:02:19.388,A4,309,415,55,50,219.0,79,person,4711409,2022-06-20 09:02:31.458,A3,12.07,A4_to_A3,12.07,A4_to_A3,09
52,409100,412,14,17,31,,79,person,4711332,2022-06-20 09:02:20.258,A2,88,91,27,39,345.0,30,person,4711420,2022-06-20 09:02:33.050,A1,12.792000000000002,A2_to_A1,412,14,17,31,,79,person,4711332,2022-06-20 09:02:20.258,A2,88,91,27,39,345.0,30,person,4711420,2022-06-20 09:02:33.050,A1,12.792000000000002,A2_to_A1,12.792000000000002,A2_to_A1,09
53,409102,375,3,20,9,,31,person,4711347,2022-06-20 09:02:22.442,other,397,4,26,9,90.0,38,person,4711354,2022-06-20 09:02:23.463,A2,1.0210000000000001,other_to_A2,375,3,20,9,,31,person,4711347,2022-06-20 09:02:22.442,other,397,4,26,9,90.0,38,person,4711354,2022-06-20 09:02:23.463,A2,1.0210000000000001,other_to_A2,1.0210000000000001,other_to_A2,09
54,409103,433,16,17,38,,52,person,4711360,2022-06-20 09:02:24.335,A2,518,12,18,26,96.0,50,person,4711379,2022-06-20 09:02:27.097,A2,2.762,A2_to_A2,545,14,12,29,,46,person,4711384,2022-06-20 09:02:27.818,other,582,23,17,42,109.0,39,person,4711400,2022-06-20 09:02:30.144,A4,2.326,other_to_A4,5.809,A2_to_A4,09
56,409105,619,116,25,51,,49,person,4711374,2022-06-20 09:02:26.366,A2,128,73,16,26,262.0,60,bicycle,4711403,2022-06-20 09:02:30.583,A1,4.2170000000000005,A2_to_A1,116,78,21,27,,60,person,4711406,2022-06-20 09:02:31.024,A1,83,88,22,22,252.0,31,person,4711416,2022-06-20 09:02:32.470,A1,1.4460000000000002,A1_to_A1,6.104,A2_to_A1,09
133,409205,142,39,11,16,,58,person,4714208,2022-06-20 09:09:20.394,A1,142,39,11,16,,58,person,4714211,2022-06-20 09:09:20.836,A1,0.442,A1_to_A1,156,39,13,20,,68,person,4714212,2022-06-20 09:09:20.985,A1,660,143,41,43,120.0,36,person,4714254,2022-06-20 09:09:27.152,A2,6.167000000000001,A1_to_A2,6.758,A1_to_A2,09
147,409226,102,94,22,25,,53,person,4714819,2022-06-20 09:10:49.776,A1,102,95,22,23,160.0,37,person,4714826,2022-06-20 09:10:50.803,A1,1.0270000000000001,A1_to_A1,94,458,66,31,,29,person,4714972,2022-06-20 09:11:12.214,A3,94,458,66,31,,29,person,4714975,2022-06-20 09:11:12.653,A3,0.439,A3_to_A3,22.877000000000002,A1_to_A3,09
149,409230,96,122,22,30,,33,person,4714871,2022-06-20 09:10:57.416,A1,136,167,50,42,168.0,27,person,4714919,2022-06-20 09:11:04.461,A1,7.045000000000001,A1_to_A1,120,161,17,20,,32,person,4714921,2022-06-20 09:11:04.754,A1,116,178,22,24,193.0,40,person,4714928,2022-06-20 09:11:05.778,other,1.024,A1_to_other,8.362,A1_to_other,09
155,409239,630,155,19,76,,36,person,4715048,2022-06-20 09:11:23.332,A2,623,180,26,52,195.0,47,person,4715054,2022-06-20 09:11:24.205,A2,0.8730000000000001,A2_to_A2,602,176,32,55,,37,person,4715056,2022-06-20 09:11:24.497,A2,269,336,47,58,240.0,80,person,4715102,2022-06-20 09:11:31.259,A3,6.7620000000000005,A2_to_A3,7.9270000000000005,A2_to_A3,09
