,id,x_min_S,y_min_S,w_min_S,h_min_S,bearing_min_S,confidence_min_S,name_min_S,frameId_min_S,timestamp_min_S,first_Area_S,x_max_S,y_max_S,w_max_S,h_max_S,bearing_max_S,confidence_max_S,name_max_S,frameId_max_S,timestamp_max_S,last_Area_S,stayTime_S,Path_S,x_min_E,y_min_E,w_min_E,h_min_E,bearing_min_E,confidence_min_E,name_min_E,frameId_min_E,timestamp_min_E,first_Area_E,x_max_E,y_max_E,w_max_E,h_max_E,bearing_max_E,confidence_max_E,name_max_E,frameId_max_E,timestamp_max_E,last_Area_E,stayTime_E,Path_E,stayTime,Path,o'clock
128,196490,131,60,24,28,,29,person,1832097,2022-07-18 00:14:35.663,A1,131,61,25,27,166.0,27,person,1832104,2022-07-18 00:14:36.676,A1,1.0130000000000001,A1_to_A1,142,50,49,41,,44,car,1832107,2022-07-18 00:14:37.111,A1,516,50,130,62,93.0,41,car,1832129,2022-07-18 00:14:40.297,A2,3.1860000000000004,A1_to_A2,4.634,A1_to_A2,00
219,196644,193,7,19,17,,38,person,1835801,2022-07-18 00:23:33.904,A1,194,12,22,22,168.0,41,person,1835806,2022-07-18 00:23:34.629,A1,0.7250000000000001,A1_to_A1,189,13,36,28,,26,car,1835808,2022-07-18 00:23:34.921,A1,447,54,155,91,92.0,96,car,1835849,2022-07-18 00:23:40.866,A2,5.945,A1_to_A2,6.962000000000001,A1_to_A2,00
224,196653,92,125,25,26,,26,person,1835858,2022-07-18 00:23:42.169,A1,92,125,25,26,,26,person,1835861,2022-07-18 00:23:42.606,A1,0.437,A1_to_A1,186,162,45,46,,61,person,1835908,2022-07-18 00:23:49.421,A1,426,175,33,62,78.0,71,person,1835939,2022-07-18 00:23:53.925,A2,4.5040000000000004,A1_to_A2,11.756,A1_to_A2,00
232,196669,268,142,51,58,,86,person,1835919,2022-07-18 00:23:51.018,other,372,179,45,67,109.0,77,person,1835934,2022-07-18 00:23:53.200,A2,2.182,other_to_A2,268,142,51,58,,86,person,1835919,2022-07-18 00:23:51.018,other,372,179,45,67,109.0,77,person,1835934,2022-07-18 00:23:53.200,A2,2.182,other_to_A2,2.182,other_to_A2,00
288,196776,129,57,25,33,,34,person,1840409,2022-07-18 00:34:48.833,A1,131,56,25,34,41.0,34,person,1840414,2022-07-18 00:34:49.556,A1,0.7230000000000001,A1_to_A1,472,58,24,52,,29,car,1840455,2022-07-18 00:34:55.498,A2,519,61,29,51,93.0,30,car,1840459,2022-07-18 00:34:56.083,A2,0.5850000000000001,A2_to_A2,7.250000000000001,A1_to_A2,00
326,196844,130,58,25,32,,29,person,1842539,2022-07-18 00:39:57.640,A1,486,47,183,89,93.0,37,car,1842561,2022-07-18 00:40:00.831,A2,3.1910000000000003,A1_to_A2,130,58,25,32,,29,person,1842539,2022-07-18 00:39:57.640,A1,486,47,183,89,93.0,37,car,1842561,2022-07-18 00:40:00.831,A2,3.1910000000000003,A1_to_A2,3.1910000000000003,A1_to_A2,00
440,197074,214,139,38,51,,69,person,1847773,2022-07-18 00:52:39.556,A1,410,208,34,60,112.0,37,person,1847798,2022-07-18 00:52:43.180,A2,3.624,A1_to_A2,214,139,38,51,,69,person,1847773,2022-07-18 00:52:39.556,A1,410,208,34,60,112.0,37,person,1847798,2022-07-18 00:52:43.180,A2,3.624,A1_to_A2,3.624,A1_to_A2,00
479,197152,70,252,24,42,,36,person,1849396,2022-07-18 00:56:37.006,A3,67,249,32,48,310.0,33,person,1849405,2022-07-18 00:56:38.334,other,1.328,A3_to_other,69,246,19,28,,30,person,1849417,2022-07-18 00:56:40.121,other,69,246,19,28,,30,person,1849420,2022-07-18 00:56:40.569,other,0.448,other_to_other,3.563,A3_to_other,00
501,197200,105,128,15,17,,39,person,1849665,2022-07-18 00:57:16.624,A1,109,127,18,21,81.0,41,person,1849670,2022-07-18 00:57:17.357,A1,0.7330000000000001,A1_to_A1,100,143,44,51,,26,person,1849675,2022-07-18 00:57:18.099,A1,128,186,47,54,180.0,47,person,1849705,2022-07-18 00:57:22.530,other,4.431,A1_to_other,5.906000000000001,A1_to_other,00
555,197325,327,80,38,59,,44,person,1851494,2022-07-18 01:01:44.404,A2,119,61,25,27,264.0,27,person,1851520,2022-07-18 01:01:48.211,A1,3.8070000000000004,A2_to_A1,327,80,38,59,,44,person,1851494,2022-07-18 01:01:44.404,A2,119,61,25,27,264.0,27,person,1851520,2022-07-18 01:01:48.211,A1,3.8070000000000004,A2_to_A1,3.8070000000000004,A2_to_A1,01
592,197389,129,67,27,38,,27,person,1853209,2022-07-18 01:05:53.352,A1,129,67,27,38,,27,person,1853212,2022-07-18 01:05:53.792,A1,0.44,A1_to_A1,139,48,47,44,,65,car,1853228,2022-07-18 01:05:56.115,A1,415,45,138,84,95.0,28,car,1853248,2022-07-18 01:05:59.010,A2,2.895,A1_to_A2,5.658,A1_to_A2,01
627,197436,129,57,25,32,,38,person,1855260,2022-07-18 01:10:52.465,A1,129,57,25,32,,38,person,1855263,2022-07-18 01:10:52.908,A1,0.443,A1_to_A1,141,49,52,39,,31,car,1855264,2022-07-18 01:10:53.063,A1,367,27,141,59,85.0,65,car,1855276,2022-07-18 01:10:54.837,A2,1.774,A1_to_A2,2.3720000000000003,A1_to_A2,01
