,id,x_min_S,y_min_S,w_min_S,h_min_S,bearing_min_S,confidence_min_S,name_min_S,frameId_min_S,timestamp_min_S,first_Area_S,x_max_S,y_max_S,w_max_S,h_max_S,bearing_max_S,confidence_max_S,name_max_S,frameId_max_S,timestamp_max_S,last_Area_S,stayTime_S,Path_S,x_min_E,y_min_E,w_min_E,h_min_E,bearing_min_E,confidence_min_E,name_min_E,frameId_min_E,timestamp_min_E,first_Area_E,x_max_E,y_max_E,w_max_E,h_max_E,bearing_max_E,confidence_max_E,name_max_E,frameId_max_E,timestamp_max_E,last_Area_E,stayTime_E,Path_E,stayTime,Path,o'clock
10,93582,179,138,31,43,,38,person,1161924,2022-06-14 09:00:45.853,A1,74,237,25,27,235.0,29,person,1161943,2022-06-14 09:00:48.634,other,2.781,A1_to_other,71,247,23,34,,55,person,1161945,2022-06-14 09:00:48.928,A3,60,255,23,34,233.0,51,person,1161950,2022-06-14 09:00:49.658,other,0.7300000000000001,A3_to_other,3.805,A1_to_other,09
16,93596,410,12,17,28,,63,person,1161964,2022-06-14 09:00:51.710,A2,113,208,34,52,232.0,42,person,1161998,2022-06-14 09:00:56.709,other,4.9990000000000006,A2_to_other,410,12,17,28,,63,person,1161964,2022-06-14 09:00:51.710,A2,113,208,34,52,232.0,42,person,1161998,2022-06-14 09:00:56.709,other,4.9990000000000006,A2_to_other,4.9990000000000006,A2_to_other,09
24,93626,67,245,19,24,,27,person,1162136,2022-06-14 09:01:16.965,other,71,255,26,34,157.0,56,person,1162144,2022-06-14 09:01:18.137,A3,1.1720000000000002,other_to_A3,137,190,50,54,,67,person,1162156,2022-06-14 09:01:19.896,other,186,67,78,65,13.0,67,person,1162175,2022-06-14 09:01:22.686,A1,2.79,other_to_A1,5.721,other_to_A1,09
60,93706,137,42,15,18,,29,person,1163377,2022-06-14 09:04:19.080,A1,642,124,47,30,117.0,59,person,1163431,2022-06-14 09:04:26.991,A2,7.9110000000000005,A1_to_A2,137,42,15,18,,29,person,1163377,2022-06-14 09:04:19.080,A1,642,124,47,30,117.0,59,person,1163431,2022-06-14 09:04:26.991,A2,7.9110000000000005,A1_to_A2,7.9110000000000005,A1_to_A2,09
84,93737,632,71,16,41,,45,person,1163895,2022-06-14 09:05:35.127,A2,542,20,11,44,314.0,51,person,1163930,2022-06-14 09:05:40.298,other,5.171,A2_to_other,632,71,16,41,,45,person,1163895,2022-06-14 09:05:35.127,A2,542,20,11,44,314.0,51,person,1163930,2022-06-14 09:05:40.298,other,5.171,A2_to_other,5.171,A2_to_other,09
95,93755,303,13,29,28,,31,person,1164133,2022-06-14 09:06:09.846,A1,406,27,17,24,97.0,36,person,1164138,2022-06-14 09:06:10.574,A2,0.7280000000000001,A1_to_A2,303,13,29,28,,31,person,1164133,2022-06-14 09:06:09.846,A1,406,27,17,24,97.0,36,person,1164138,2022-06-14 09:06:10.574,A2,0.7280000000000001,A1_to_A2,0.7280000000000001,A1_to_A2,09
101,93765,95,117,19,25,,28,person,1164368,2022-06-14 09:06:43.958,A1,95,117,19,25,,28,person,1164371,2022-06-14 09:06:44.400,A1,0.442,A1_to_A1,108,122,22,29,,30,person,1164376,2022-06-14 09:06:45.133,A1,134,205,22,45,211.0,31,person,1164419,2022-06-14 09:06:51.434,other,6.301,A1_to_other,7.476000000000001,A1_to_other,09
137,93810,114,237,13,27,,25,person,1165386,2022-06-14 09:09:11.831,A3,114,237,13,27,,25,person,1165389,2022-06-14 09:09:12.271,A3,0.44,A3_to_A3,145,190,37,48,,34,person,1165411,2022-06-14 09:09:15.474,A1,143,186,38,46,341.0,28,person,1165417,2022-06-14 09:09:16.336,A1,0.8620000000000001,A1_to_A1,4.505,A3_to_A1,09
138,93814,121,178,18,26,,39,person,1165408,2022-06-14 09:09:15.029,other,124,137,30,31,266.0,34,person,1165465,2022-06-14 09:09:23.286,A1,8.257,other_to_A1,107,122,27,27,,29,person,1165515,2022-06-14 09:09:30.653,A1,106,122,26,26,266.0,27,person,1165519,2022-06-14 09:09:31.237,A1,0.5840000000000001,A1_to_A1,16.208000000000002,other_to_A1,09
139,93816,632,76,15,41,,49,person,1165426,2022-06-14 09:09:17.639,A2,528,-2,12,14,318.0,26,person,1165452,2022-06-14 09:09:21.405,other,3.766,A2_to_other,501,26,26,52,,31,person,1165453,2022-06-14 09:09:21.551,A2,351,2,21,8,273.0,33,person,1165485,2022-06-14 09:09:26.233,A1,4.682,A2_to_A1,8.594000000000001,A2_to_A1,09
