,id,x_min_S,y_min_S,w_min_S,h_min_S,bearing_min_S,confidence_min_S,name_min_S,frameId_min_S,timestamp_min_S,first_Area_S,x_max_S,y_max_S,w_max_S,h_max_S,bearing_max_S,confidence_max_S,name_max_S,frameId_max_S,timestamp_max_S,last_Area_S,stayTime_S,Path_S,x_min_E,y_min_E,w_min_E,h_min_E,bearing_min_E,confidence_min_E,name_min_E,frameId_min_E,timestamp_min_E,first_Area_E,x_max_E,y_max_E,w_max_E,h_max_E,bearing_max_E,confidence_max_E,name_max_E,frameId_max_E,timestamp_max_E,last_Area_E,stayTime_E,Path_E,stayTime,Path,o'clock
229,418780,261,127,52,53,,26,person,4178356,2022-10-10 00:10:03.723,A1,269,152,46,55,162.0,25,person,4178360,2022-10-10 00:10:04.305,A2,0.5820000000000001,A1_to_A2,261,127,52,53,,26,person,4178356,2022-10-10 00:10:03.723,A1,269,152,46,55,162.0,25,person,4178360,2022-10-10 00:10:04.305,A2,0.5820000000000001,A1_to_A2,0.5820000000000001,A1_to_A2,00
497,419302,70,245,19,33,,31,person,4184148,2022-10-10 00:24:08.085,other,91,153,74,93,13.0,26,car,4184156,2022-10-10 00:24:09.258,A1,1.173,other_to_A1,70,245,19,33,,31,person,4184148,2022-10-10 00:24:08.085,other,91,153,74,93,13.0,26,car,4184156,2022-10-10 00:24:09.258,A1,1.173,other_to_A1,1.173,other_to_A1,00
800,420233,69,244,25,35,,26,person,4189427,2022-10-10 00:36:59.459,other,69,244,25,35,,26,person,4189430,2022-10-10 00:36:59.903,other,0.444,other_to_other,130,57,23,28,,34,person,4189462,2022-10-10 00:37:04.595,A1,129,56,25,27,289.0,33,person,4189470,2022-10-10 00:37:05.774,A1,1.179,A1_to_A1,6.315,other_to_A1,00
846,420367,69,249,27,48,,26,person,4190245,2022-10-10 00:38:59.402,A3,69,249,27,48,,26,person,4190248,2022-10-10 00:38:59.840,A3,0.438,A3_to_A3,65,216,58,51,,27,car,4190265,2022-10-10 00:39:02.312,other,65,216,58,51,,27,car,4190268,2022-10-10 00:39:02.747,other,0.43500000000000005,other_to_other,3.345,A3_to_other,00
1693,423913,307,79,36,62,,32,person,4213755,2022-10-10 01:36:10.410,other,148,58,16,26,266.0,29,person,4213796,2022-10-10 01:36:16.382,A1,5.972,other_to_A1,106,77,60,49,,28,car,4213817,2022-10-10 01:36:19.440,A1,106,77,60,49,,28,car,4213820,2022-10-10 01:36:19.878,A1,0.438,A1_to_A1,9.468,other_to_A1,01
1725,423996,206,6,18,15,,25,person,4214399,2022-10-10 01:37:44.741,A1,206,6,18,15,,25,person,4214402,2022-10-10 01:37:45.185,A1,0.444,A1_to_A1,134,43,40,33,,43,car,4214454,2022-10-10 01:37:52.816,A1,427,41,136,81,90.0,84,car,4214466,2022-10-10 01:37:54.577,A2,1.7610000000000001,A1_to_A2,9.836,A1_to_A2,01
2133,426040,129,56,25,27,,29,person,4227331,2022-10-10 02:09:13.097,A1,129,56,26,29,290.0,38,person,4227337,2022-10-10 02:09:13.979,A1,0.882,A1_to_A1,608,33,64,67,,29,car,4227374,2022-10-10 02:09:19.399,A4,608,33,64,67,,29,car,4227377,2022-10-10 02:09:19.836,A4,0.437,A4_to_A4,6.739000000000001,A1_to_A4,02
2212,426320,313,42,71,84,,57,person,4229365,2022-10-10 02:14:10.098,A1,263,147,65,69,191.0,37,person,4229389,2022-10-10 02:14:13.584,other,3.486,A1_to_other,313,42,71,84,,57,person,4229365,2022-10-10 02:14:10.098,A1,263,147,65,69,191.0,37,person,4229389,2022-10-10 02:14:13.584,other,3.486,A1_to_other,3.486,A1_to_other,02
2213,426322,326,69,35,59,,60,person,4229373,2022-10-10 02:14:11.269,other,304,111,35,64,207.0,46,person,4229382,2022-10-10 02:14:12.575,A2,1.306,other_to_A2,326,69,35,59,,60,person,4229373,2022-10-10 02:14:11.269,other,304,111,35,64,207.0,46,person,4229382,2022-10-10 02:14:12.575,A2,1.306,other_to_A2,1.306,other_to_A2,02
2949,429325,130,57,23,31,,25,person,4249026,2022-10-10 03:01:59.738,A1,130,57,23,31,,25,person,4249029,2022-10-10 03:02:00.174,A1,0.43600000000000005,A1_to_A1,131,42,31,35,,29,car,4249038,2022-10-10 03:02:01.483,A1,607,31,64,61,184.0,30,car,4249101,2022-10-10 03:02:10.645,A4,9.162,A1_to_A4,10.907,A1_to_A4,03
