,id,x_min_S,y_min_S,w_min_S,h_min_S,bearing_min_S,confidence_min_S,name_min_S,frameId_min_S,timestamp_min_S,first_Area_S,x_max_S,y_max_S,w_max_S,h_max_S,bearing_max_S,confidence_max_S,name_max_S,frameId_max_S,timestamp_max_S,last_Area_S,stayTime_S,Path_S,x_min_E,y_min_E,w_min_E,h_min_E,bearing_min_E,confidence_min_E,name_min_E,frameId_min_E,timestamp_min_E,first_Area_E,x_max_E,y_max_E,w_max_E,h_max_E,bearing_max_E,confidence_max_E,name_max_E,frameId_max_E,timestamp_max_E,last_Area_E,stayTime_E,Path_E,stayTime,Path,o'clock
78,595256,68,245,21,34,,27,person,4765124,2022-07-12 01:03:45.809,other,68,245,21,34,,27,person,4765127,2022-07-12 01:03:46.243,other,0.43400000000000005,other_to_other,68,245,20,29,,27,person,4765152,2022-07-12 01:03:49.876,other,70,246,19,24,99.0,29,person,4765158,2022-07-12 01:03:50.744,A3,0.8680000000000001,other_to_A3,4.9350000000000005,other_to_A3,01
141,595417,95,189,17,29,,34,person,4765896,2022-07-12 01:05:38.940,other,96,189,15,26,61.0,33,person,4765900,2022-07-12 01:05:39.551,other,0.611,other_to_other,108,218,22,33,,25,person,4765909,2022-07-12 01:05:40.854,A3,109,218,22,34,122.0,34,person,4765913,2022-07-12 01:05:41.433,A3,0.5790000000000001,A3_to_A3,2.4930000000000003,other_to_A3,01
368,596158,68,253,24,45,,25,person,4769042,2022-07-12 01:13:17.394,A3,69,240,22,33,3.0,29,person,4769048,2022-07-12 01:13:18.278,other,0.884,A3_to_other,68,253,24,45,,25,person,4769042,2022-07-12 01:13:17.394,A3,69,240,22,33,3.0,29,person,4769048,2022-07-12 01:13:18.278,other,0.884,A3_to_other,0.884,A3_to_other,01
431,596299,68,245,19,28,,26,person,4769738,2022-07-12 01:14:58.885,other,68,245,19,28,,26,person,4769741,2022-07-12 01:14:59.320,other,0.43500000000000005,other_to_other,68,246,21,31,,27,person,4769747,2022-07-12 01:15:00.192,other,66,257,24,39,187.0,27,person,4769752,2022-07-12 01:15:00.915,A3,0.7230000000000001,other_to_A3,2.0300000000000002,other_to_A3,01
560,596774,68,245,22,30,,27,person,4771794,2022-07-12 01:19:58.098,other,68,258,25,41,179.0,30,person,4771800,2022-07-12 01:19:58.969,A3,0.8710000000000001,other_to_A3,68,245,22,30,,27,person,4771794,2022-07-12 01:19:58.098,other,68,258,25,41,179.0,30,person,4771800,2022-07-12 01:19:58.969,A3,0.8710000000000001,other_to_A3,0.8710000000000001,other_to_A3,01
566,596799,80,236,26,31,,25,person,4771915,2022-07-12 01:20:15.691,A3,80,236,26,31,,25,person,4771918,2022-07-12 01:20:16.124,A3,0.43300000000000005,A3_to_A3,68,246,21,26,,25,person,4771926,2022-07-12 01:20:17.285,other,68,246,21,26,,25,person,4771929,2022-07-12 01:20:17.727,other,0.442,other_to_other,2.036,A3_to_other,01
626,597010,68,252,21,37,,28,person,4772886,2022-07-12 01:22:36.869,A3,71,238,19,29,12.0,26,person,4772890,2022-07-12 01:22:37.449,other,0.5800000000000001,A3_to_other,68,245,20,29,,28,person,4772891,2022-07-12 01:22:37.594,other,68,245,20,29,,28,person,4772894,2022-07-12 01:22:38.031,other,0.437,other_to_other,1.1620000000000001,A3_to_other,01
765,597470,137,30,14,21,,26,person,4775433,2022-07-12 01:28:48.074,A1,137,30,14,21,,26,person,4775436,2022-07-12 01:28:48.513,A1,0.439,A1_to_A1,141,51,49,38,,87,car,4775439,2022-07-12 01:28:48.955,A1,674,113,109,70,101.0,31,car,4775458,2022-07-12 01:28:51.747,A2,2.7920000000000003,A1_to_A2,3.673,A1_to_A2,01
769,597480,138,30,14,20,,26,person,4775472,2022-07-12 01:28:53.798,A1,138,30,14,20,,26,person,4775475,2022-07-12 01:28:54.237,A1,0.439,A1_to_A1,139,52,43,34,,79,car,4775489,2022-07-12 01:28:56.299,A1,687,117,77,62,102.0,54,car,4775511,2022-07-12 01:28:59.527,A2,3.228,A1_to_A2,5.729,A1_to_A2,01
1021,598173,427,200,35,51,,52,person,4779009,2022-07-12 01:37:30.028,A2,174,133,34,50,269.0,43,person,4779046,2022-07-12 01:37:35.423,A1,5.3950000000000005,A2_to_A1,159,133,31,47,,27,person,4779050,2022-07-12 01:37:36.003,A1,152,137,40,45,239.0,28,person,4779054,2022-07-12 01:37:36.586,A1,0.5830000000000001,A1_to_A1,6.558000000000001,A2_to_A1,01
1148,598551,69,246,20,26,,28,person,4780978,2022-07-12 01:42:17.994,other,69,246,20,26,,28,person,4780981,2022-07-12 01:42:18.432,other,0.438,other_to_other,79,237,27,32,,25,person,4780987,2022-07-12 01:42:19.310,A3,79,237,27,32,,25,person,4780990,2022-07-12 01:42:19.748,A3,0.438,A3_to_A3,1.754,other_to_A3,01
1211,598701,67,252,23,40,,26,person,4781787,2022-07-12 01:44:16.310,A3,67,252,23,40,,26,person,4781790,2022-07-12 01:44:16.748,A3,0.438,A3_to_A3,68,245,19,28,,29,person,4781794,2022-07-12 01:44:17.327,other,68,245,19,28,,29,person,4781797,2022-07-12 01:44:17.765,other,0.438,other_to_other,1.455,A3_to_other,01
1292,598932,378,3,17,9,,34,person,4782758,2022-07-12 01:46:37.540,other,378,3,17,9,,34,person,4782761,2022-07-12 01:46:37.974,other,0.43400000000000005,other_to_other,488,11,21,23,,68,person,4782804,2022-07-12 01:46:44.231,A2,492,10,22,23,80.0,39,person,4782808,2022-07-12 01:46:44.812,A2,0.5810000000000001,A2_to_A2,7.272,other_to_A2,01
