,id,x_min_S,y_min_S,w_min_S,h_min_S,bearing_min_S,confidence_min_S,name_min_S,frameId_min_S,timestamp_min_S,first_Area_S,x_max_S,y_max_S,w_max_S,h_max_S,bearing_max_S,confidence_max_S,name_max_S,frameId_max_S,timestamp_max_S,last_Area_S,stayTime_S,Path_S,x_min_E,y_min_E,w_min_E,h_min_E,bearing_min_E,confidence_min_E,name_min_E,frameId_min_E,timestamp_min_E,first_Area_E,x_max_E,y_max_E,w_max_E,h_max_E,bearing_max_E,confidence_max_E,name_max_E,frameId_max_E,timestamp_max_E,last_Area_E,stayTime_E,Path_E,stayTime,Path,o'clock
7,37800,67,244,21,32,,48,person,454481,2022-10-13 00:00:41.197,other,95,147,81,93,15.0,25,person,454489,2022-10-13 00:00:42.366,A1,1.169,other_to_A1,67,244,21,32,,48,person,454481,2022-10-13 00:00:41.197,other,95,147,81,93,15.0,25,person,454489,2022-10-13 00:00:42.366,A1,1.169,other_to_A1,1.169,other_to_A1,00
80,38038,128,93,28,30,,46,person,456885,2022-10-13 00:06:34.267,A1,180,84,31,48,78.0,39,person,456897,2022-10-13 00:06:36.030,A1,1.7630000000000001,A1_to_A1,182,118,40,52,,40,person,456917,2022-10-13 00:06:38.979,A1,374,183,35,64,112.0,28,person,456954,2022-10-13 00:06:44.464,A2,5.485,A1_to_A2,10.197000000000001,A1_to_A2,00
82,38049,282,123,44,66,,44,person,456933,2022-10-13 00:06:41.350,other,293,115,35,63,55.0,35,person,456938,2022-10-13 00:06:42.085,other,0.7350000000000001,other_to_other,312,137,38,78,,30,person,456939,2022-10-13 00:06:42.238,A2,312,137,38,78,,30,person,456942,2022-10-13 00:06:42.693,A2,0.455,A2_to_A2,1.3430000000000002,other_to_A2,00
83,38050,227,179,46,54,,75,person,456938,2022-10-13 00:06:42.085,other,274,206,52,58,119.0,65,person,456947,2022-10-13 00:06:43.423,A2,1.338,other_to_A2,227,179,46,54,,75,person,456938,2022-10-13 00:06:42.085,other,274,206,52,58,119.0,65,person,456947,2022-10-13 00:06:43.423,A2,1.338,other_to_A2,1.338,other_to_A2,00
109,38108,129,56,26,29,,28,person,457462,2022-10-13 00:07:58.395,A1,129,56,26,29,,28,person,457465,2022-10-13 00:07:58.830,A1,0.43500000000000005,A1_to_A1,136,46,43,38,,62,car,457515,2022-10-13 00:08:06.096,A1,702,112,86,138,101.0,27,car,457533,2022-10-13 00:08:08.698,other,2.6020000000000003,A1_to_other,10.303,A1_to_other,00
112,38116,534,21,19,44,,34,person,457494,2022-10-13 00:08:03.051,other,514,21,30,44,271.0,27,person,457501,2022-10-13 00:08:04.067,A2,1.016,other_to_A2,522,21,24,45,,55,person,457525,2022-10-13 00:08:07.543,A2,522,21,24,45,,55,person,457528,2022-10-13 00:08:07.974,A2,0.43100000000000005,A2_to_A2,4.923,other_to_A2,00
166,38337,128,56,25,30,,27,person,459759,2022-10-13 00:13:36.060,A1,128,56,25,30,,27,person,459762,2022-10-13 00:13:36.503,A1,0.443,A1_to_A1,132,43,35,39,,37,car,459787,2022-10-13 00:13:40.213,A1,707,109,70,179,100.0,58,car,459807,2022-10-13 00:13:43.161,other,2.9480000000000004,A1_to_other,7.101000000000001,A1_to_other,00
184,38421,130,57,23,30,,26,person,460543,2022-10-13 00:15:31.848,A1,138,64,45,39,141.0,31,person,460571,2022-10-13 00:15:35.975,A1,4.127000000000001,A1_to_A1,157,66,28,36,,29,person,460573,2022-10-13 00:15:36.269,A1,386,40,32,59,83.0,29,person,460655,2022-10-13 00:15:48.367,A2,12.098,A1_to_A2,16.519000000000002,A1_to_A2,00
231,38650,129,56,24,30,,28,person,462812,2022-10-13 00:21:04.801,A1,129,56,24,30,,28,person,462815,2022-10-13 00:21:05.240,A1,0.439,A1_to_A1,131,39,35,27,,26,car,462847,2022-10-13 00:21:09.956,A1,446,28,136,57,89.0,40,car,462863,2022-10-13 00:21:12.332,A2,2.3760000000000003,A1_to_A2,7.531000000000001,A1_to_A2,00
250,38692,129,56,25,28,,26,person,463183,2022-10-13 00:21:59.615,A1,129,56,25,28,,26,person,463186,2022-10-13 00:22:00.054,A1,0.439,A1_to_A1,137,46,44,40,,63,car,463206,2022-10-13 00:22:03.019,A1,667,128,138,95,103.0,34,car,463225,2022-10-13 00:22:05.775,A2,2.7560000000000002,A1_to_A2,6.16,A1_to_A2,00
