,id,x_min_S,y_min_S,w_min_S,h_min_S,bearing_min_S,confidence_min_S,name_min_S,frameId_min_S,timestamp_min_S,first_Area_S,x_max_S,y_max_S,w_max_S,h_max_S,bearing_max_S,confidence_max_S,name_max_S,frameId_max_S,timestamp_max_S,last_Area_S,stayTime_S,Path_S,x_min_E,y_min_E,w_min_E,h_min_E,bearing_min_E,confidence_min_E,name_min_E,frameId_min_E,timestamp_min_E,first_Area_E,x_max_E,y_max_E,w_max_E,h_max_E,bearing_max_E,confidence_max_E,name_max_E,frameId_max_E,timestamp_max_E,last_Area_E,stayTime_E,Path_E,stayTime,Path,o'clock
0,109461,100,118,18,24,,32,person,815777,2022-07-05 09:00:27.938,A1,152,157,32,41,184.0,47,person,815824,2022-07-05 09:00:34.759,A1,6.821000000000001,A1_to_A1,65,325,25,36,,31,car,815867,2022-07-05 09:00:40.998,A3,50,332,37,34,245.0,27,car,815871,2022-07-05 09:00:41.581,A3,0.5830000000000001,A3_to_A3,13.643,A1_to_A3,09
11,109505,625,338,30,67,,38,person,816366,2022-07-05 09:01:54.022,A2,125,123,15,29,271.0,32,person,816472,2022-07-05 09:02:09.668,A1,15.646,A2_to_A1,625,338,30,67,,38,person,816366,2022-07-05 09:01:54.022,A2,125,123,15,29,271.0,32,person,816472,2022-07-05 09:02:09.668,A1,15.646,A2_to_A1,15.646,A2_to_A1,09
13,109508,264,163,47,61,,86,person,816414,2022-07-05 09:02:01.092,A2,203,159,62,60,248.0,28,person,816437,2022-07-05 09:02:04.496,A1,3.4040000000000004,A2_to_A1,100,115,30,27,,27,person,816504,2022-07-05 09:02:14.400,A1,100,115,30,27,,27,person,816507,2022-07-05 09:02:14.842,A1,0.442,A1_to_A1,13.75,A2_to_A1,09
26,109541,553,306,62,57,,33,person,816683,2022-07-05 09:02:40.705,A2,504,271,63,43,305.0,40,person,816689,2022-07-05 09:02:41.582,A2,0.877,A2_to_A2,166,132,41,41,,59,person,816736,2022-07-05 09:02:48.413,A1,159,133,46,42,255.0,38,person,816740,2022-07-05 09:02:48.999,A1,0.5860000000000001,A1_to_A1,8.294,A2_to_A1,09
98,109877,121,212,53,63,,42,person,819650,2022-07-05 09:09:52.826,other,154,191,13,26,58.0,26,person,819658,2022-07-05 09:09:53.999,A1,1.173,other_to_A1,90,108,21,17,,28,person,819713,2022-07-05 09:10:02.148,A1,90,108,21,17,,28,person,819716,2022-07-05 09:10:02.585,A1,0.437,A1_to_A1,9.759,other_to_A1,09
99,109880,625,344,30,51,,25,person,819663,2022-07-05 09:09:54.737,A2,98,114,24,29,302.0,37,person,819741,2022-07-05 09:10:06.254,A1,11.517000000000001,A2_to_A1,95,113,25,27,,45,person,819742,2022-07-05 09:10:06.396,A1,95,114,25,26,193.0,43,person,819746,2022-07-05 09:10:06.977,A1,0.5810000000000001,A1_to_A1,12.24,A2_to_A1,09
108,109926,95,114,24,25,,47,person,820000,2022-07-05 09:10:43.883,A1,633,319,61,58,115.0,33,person,820076,2022-07-05 09:10:54.941,A2,11.058,A1_to_A2,95,114,24,25,,47,person,820000,2022-07-05 09:10:43.883,A1,633,319,61,58,115.0,33,person,820076,2022-07-05 09:10:54.941,A2,11.058,A1_to_A2,11.058,A1_to_A2,09
118,109954,129,290,57,45,,37,person,820219,2022-07-05 09:11:15.712,A3,124,184,48,72,356.0,46,person,820228,2022-07-05 09:11:17.019,other,1.3070000000000002,A3_to_other,129,290,57,45,,37,person,820219,2022-07-05 09:11:15.712,A3,124,184,48,72,356.0,46,person,820228,2022-07-05 09:11:17.019,other,1.3070000000000002,A3_to_other,1.3070000000000002,A3_to_other,09
119,109955,104,247,37,65,,51,person,820220,2022-07-05 09:11:15.862,A3,128,218,42,63,39.0,25,person,820227,2022-07-05 09:11:16.874,other,1.012,A3_to_other,104,247,37,65,,51,person,820220,2022-07-05 09:11:15.862,A3,128,218,42,63,39.0,25,person,820227,2022-07-05 09:11:16.874,other,1.012,A3_to_other,1.012,A3_to_other,09
120,109956,239,290,42,37,,36,person,820229,2022-07-05 09:11:17.164,A3,244,265,42,61,12.0,50,person,820236,2022-07-05 09:11:18.187,other,1.0230000000000001,A3_to_other,239,290,42,37,,36,person,820229,2022-07-05 09:11:17.164,A3,244,265,42,61,12.0,50,person,820236,2022-07-05 09:11:18.187,other,1.0230000000000001,A3_to_other,1.0230000000000001,A3_to_other,09
121,109958,213,150,49,56,,42,person,820244,2022-07-05 09:11:19.346,A1,456,14,22,30,87.0,48,person,820312,2022-07-05 09:11:29.246,A2,9.9,A1_to_A2,463,12,15,26,,52,person,820313,2022-07-05 09:11:29.393,A2,490,14,14,28,93.0,26,person,820321,2022-07-05 09:11:30.573,A2,1.1800000000000002,A2_to_A2,11.227,A1_to_A2,09
123,109967,370,17,25,35,,63,person,820290,2022-07-05 09:11:26.025,other,420,5,11,18,76.0,35,person,820304,2022-07-05 09:11:28.065,A2,2.04,other_to_A2,370,17,25,35,,63,person,820290,2022-07-05 09:11:26.025,other,420,5,11,18,76.0,35,person,820304,2022-07-05 09:11:28.065,A2,2.04,other_to_A2,2.04,other_to_A2,09
128,109976,612,323,57,72,,33,person,820318,2022-07-05 09:11:30.128,A2,113,111,27,31,295.0,35,person,820394,2022-07-05 09:11:41.189,A1,11.061,A2_to_A1,612,323,57,72,,33,person,820318,2022-07-05 09:11:30.128,A2,113,111,27,31,295.0,35,person,820394,2022-07-05 09:11:41.189,A1,11.061,A2_to_A1,11.061,A2_to_A1,09
131,109985,116,118,26,28,,28,person,820413,2022-07-05 09:11:43.949,A1,98,226,45,41,203.0,37,person,820442,2022-07-05 09:11:48.159,A3,4.21,A1_to_A3,116,118,26,28,,28,person,820413,2022-07-05 09:11:43.949,A1,98,226,45,41,203.0,37,person,820442,2022-07-05 09:11:48.159,A3,4.21,A1_to_A3,4.21,A1_to_A3,09
139,110003,56,302,37,44,,27,person,820592,2022-07-05 09:12:10.068,A3,97,112,20,29,300.0,35,person,820643,2022-07-05 09:12:17.524,A1,7.456,A3_to_A1,95,112,20,25,,32,person,820645,2022-07-05 09:12:17.811,A1,95,112,20,25,,32,person,820648,2022-07-05 09:12:18.246,A1,0.43500000000000005,A1_to_A1,8.178,A3_to_A1,09
156,110036,353,3,9,7,,28,person,821046,2022-07-05 09:13:16.071,A1,353,3,9,7,,28,person,821049,2022-07-05 09:13:16.508,A1,0.437,A1_to_A1,354,7,12,16,,28,person,821054,2022-07-05 09:13:17.234,A1,144,477,95,45,211.0,54,person,821127,2022-07-05 09:13:27.971,A3,10.737,A1_to_A3,11.9,A1_to_A3,09
182,110145,97,118,27,28,,42,person,822124,2022-07-05 09:15:53.595,A1,645,372,35,45,124.0,58,person,822191,2022-07-05 09:16:03.515,A2,9.92,A1_to_A2,97,118,27,28,,42,person,822124,2022-07-05 09:15:53.595,A1,645,372,35,45,124.0,58,person,822191,2022-07-05 09:16:03.515,A2,9.92,A1_to_A2,9.92,A1_to_A2,09
210,110290,139,30,10,18,,25,person,823351,2022-07-05 09:18:52.536,A1,139,30,10,18,,25,person,823354,2022-07-05 09:18:52.967,A1,0.43100000000000005,A1_to_A1,140,42,47,30,,77,car,823385,2022-07-05 09:18:57.474,A1,714,144,51,109,106.0,69,car,823404,2022-07-05 09:19:00.242,other,2.7680000000000002,A1_to_other,7.706,A1_to_other,09
