,id,x_min_S,y_min_S,w_min_S,h_min_S,bearing_min_S,confidence_min_S,name_min_S,frameId_min_S,timestamp_min_S,first_Area_S,x_max_S,y_max_S,w_max_S,h_max_S,bearing_max_S,confidence_max_S,name_max_S,frameId_max_S,timestamp_max_S,last_Area_S,stayTime_S,Path_S,x_min_E,y_min_E,w_min_E,h_min_E,bearing_min_E,confidence_min_E,name_min_E,frameId_min_E,timestamp_min_E,first_Area_E,x_max_E,y_max_E,w_max_E,h_max_E,bearing_max_E,confidence_max_E,name_max_E,frameId_max_E,timestamp_max_E,last_Area_E,stayTime_E,Path_E,stayTime,Path,o'clock
56,3805,130,58,26,31,,29,person,54858,2022-07-15 00:09:17.660,A1,128,56,27,32,309.0,42,person,54862,2022-07-15 00:09:18.255,A1,0.5950000000000001,A1_to_A1,138,50,45,43,,67,car,54865,2022-07-15 00:09:18.698,A1,615,27,65,62,69.0,35,car,54923,2022-07-15 00:09:27.240,A4,8.542,A1_to_A4,9.58,A1_to_A4,00
105,3889,131,60,25,28,,31,person,57324,2022-07-15 00:15:19.331,A1,131,60,25,28,,31,person,57327,2022-07-15 00:15:19.766,A1,0.43500000000000005,A1_to_A1,138,42,27,26,,29,car,57418,2022-07-15 00:15:33.137,A1,682,125,82,91,104.0,37,car,57446,2022-07-15 00:15:37.267,A2,4.13,A1_to_A2,17.936,A1_to_A2,00
109,3901,632,69,15,89,,29,person,57359,2022-07-15 00:15:24.422,other,634,71,14,97,144.0,34,person,57364,2022-07-15 00:15:25.172,other,0.75,other_to_other,131,60,24,26,,33,person,57458,2022-07-15 00:15:39.037,A1,131,60,24,26,228.0,28,person,57462,2022-07-15 00:15:39.622,A1,0.5850000000000001,A1_to_A1,15.200000000000001,other_to_A1,00
173,4021,373,32,20,50,,58,person,59203,2022-07-15 00:19:54.001,A2,338,30,25,54,272.0,39,person,59211,2022-07-15 00:19:55.160,A1,1.159,A2_to_A1,254,20,29,40,,45,person,59242,2022-07-15 00:19:59.676,A1,219,16,25,32,267.0,44,person,59263,2022-07-15 00:20:02.730,A1,3.0540000000000003,A1_to_A1,8.729000000000001,A2_to_A1,00
309,4234,131,61,24,27,,26,person,63991,2022-07-15 00:31:31.809,A1,131,60,24,27,345.0,28,person,64000,2022-07-15 00:31:33.115,A1,1.306,A1_to_A1,144,47,53,37,,83,car,64021,2022-07-15 00:31:36.166,A1,555,56,149,88,93.0,61,car,64035,2022-07-15 00:31:38.205,A2,2.039,A1_to_A2,6.396000000000001,A1_to_A2,00
316,4258,195,12,22,27,,26,person,64144,2022-07-15 00:31:54.043,A1,187,12,28,25,271.0,27,person,64149,2022-07-15 00:31:54.769,A1,0.7260000000000001,A1_to_A1,179,24,59,46,,30,car,64160,2022-07-15 00:31:56.366,A1,561,72,180,89,97.0,33,car,64200,2022-07-15 00:32:02.172,A2,5.806,A1_to_A2,8.129000000000001,A1_to_A2,00
382,4384,131,61,23,26,,26,person,66814,2022-07-15 00:38:24.300,A1,131,60,23,27,12.0,26,person,66837,2022-07-15 00:38:27.648,A1,3.3480000000000003,A1_to_A1,139,50,42,34,,44,car,66840,2022-07-15 00:38:28.082,A1,434,40,179,77,88.0,83,car,66852,2022-07-15 00:38:29.832,A2,1.75,A1_to_A2,5.532,A1_to_A2,00
384,4386,525,26,16,49,,28,person,66831,2022-07-15 00:38:26.776,A2,549,21,17,49,77.0,28,person,66835,2022-07-15 00:38:27.361,A4,0.5850000000000001,A2_to_A4,525,26,16,49,,28,person,66831,2022-07-15 00:38:26.776,A2,549,21,17,49,77.0,28,person,66835,2022-07-15 00:38:27.361,A4,0.5850000000000001,A2_to_A4,0.5850000000000001,A2_to_A4,00
385,4387,526,26,16,50,,29,person,66834,2022-07-15 00:38:27.215,A2,526,26,16,50,,29,person,66837,2022-07-15 00:38:27.648,A2,0.43300000000000005,A2_to_A2,536,24,16,50,,37,person,66847,2022-07-15 00:38:29.098,other,536,24,16,50,,37,person,66850,2022-07-15 00:38:29.532,other,0.43400000000000005,other_to_other,2.317,A2_to_other,00
414,4432,213,163,49,58,,32,person,67719,2022-07-15 00:40:36.726,A1,243,181,47,43,120.0,28,person,67724,2022-07-15 00:40:37.453,A2,0.7270000000000001,A1_to_A2,213,163,49,58,,32,person,67719,2022-07-15 00:40:36.726,A1,243,181,47,43,120.0,28,person,67724,2022-07-15 00:40:37.453,A2,0.7270000000000001,A1_to_A2,0.7270000000000001,A1_to_A2,00
