,id,x_min_S,y_min_S,w_min_S,h_min_S,bearing_min_S,confidence_min_S,name_min_S,frameId_min_S,timestamp_min_S,first_Area_S,x_max_S,y_max_S,w_max_S,h_max_S,bearing_max_S,confidence_max_S,name_max_S,frameId_max_S,timestamp_max_S,last_Area_S,stayTime_S,Path_S,x_min_E,y_min_E,w_min_E,h_min_E,bearing_min_E,confidence_min_E,name_min_E,frameId_min_E,timestamp_min_E,first_Area_E,x_max_E,y_max_E,w_max_E,h_max_E,bearing_max_E,confidence_max_E,name_max_E,frameId_max_E,timestamp_max_E,last_Area_E,stayTime_E,Path_E,stayTime,Path,o'clock
10,247287,66,251,20,31,,27,person,1776402,2022-07-07 00:00:23.589,A3,70,241,20,27,23.0,29,person,1776407,2022-07-07 00:00:24.311,other,0.7220000000000001,A3_to_other,68,245,20,26,,26,person,1776423,2022-07-07 00:00:26.637,other,68,245,20,26,,26,person,1776426,2022-07-07 00:00:27.071,other,0.43400000000000005,other_to_other,3.482,A3_to_other,00
58,247422,604,39,16,41,,26,person,1777296,2022-07-07 00:02:34.028,A4,542,43,23,38,266.0,67,person,1777307,2022-07-07 00:02:35.649,A2,1.621,A4_to_A2,604,39,16,41,,26,person,1777296,2022-07-07 00:02:34.028,A4,542,43,23,38,266.0,67,person,1777307,2022-07-07 00:02:35.649,A2,1.621,A4_to_A2,1.621,A4_to_A2,00
60,247424,498,48,40,56,,31,person,1777308,2022-07-07 00:02:35.795,A2,138,84,26,32,257.0,38,person,1777330,2022-07-07 00:02:39.051,A1,3.2560000000000002,A2_to_A1,498,48,40,56,,31,person,1777308,2022-07-07 00:02:35.795,A2,138,84,26,32,257.0,38,person,1777330,2022-07-07 00:02:39.051,A1,3.2560000000000002,A2_to_A1,3.2560000000000002,A2_to_A1,00
85,247467,131,61,23,26,,56,person,1777610,2022-07-07 00:03:20.245,A1,733,149,36,64,103.0,48,person,1778696,2022-07-07 00:06:00.022,other,159.77700000000002,A1_to_other,131,61,23,26,,56,person,1777610,2022-07-07 00:03:20.245,A1,733,149,36,64,103.0,48,person,1778696,2022-07-07 00:06:00.022,other,159.77700000000002,A1_to_other,159.77700000000002,A1_to_other,00
149,247617,70,246,21,27,,25,person,1778976,2022-07-07 00:06:41.288,A3,70,246,21,27,,25,person,1778979,2022-07-07 00:06:41.733,A3,0.445,A3_to_A3,68,246,20,26,,26,person,1778986,2022-07-07 00:06:42.762,other,68,246,20,26,,26,person,1778989,2022-07-07 00:06:43.210,other,0.448,other_to_other,1.9220000000000002,A3_to_other,00
195,247717,70,246,20,27,,31,person,1779900,2022-07-07 00:08:56.165,A3,70,246,20,27,,31,person,1779903,2022-07-07 00:08:56.602,A3,0.437,A3_to_A3,69,246,21,25,,25,person,1779953,2022-07-07 00:09:03.867,other,69,246,21,25,,25,person,1779956,2022-07-07 00:09:04.301,other,0.43400000000000005,other_to_other,8.136000000000001,A3_to_other,00
422,248296,168,171,43,53,,44,person,1784327,2022-07-07 00:19:39.607,A1,373,198,47,69,105.0,76,person,1784361,2022-07-07 00:19:44.571,A2,4.964,A1_to_A2,168,171,43,53,,44,person,1784327,2022-07-07 00:19:39.607,A1,373,198,47,69,105.0,76,person,1784361,2022-07-07 00:19:44.571,A2,4.964,A1_to_A2,4.964,A1_to_A2,00
468,248424,70,246,20,25,,26,person,1785085,2022-07-07 00:21:29.792,A3,70,246,20,25,,26,person,1785088,2022-07-07 00:21:30.224,A3,0.43200000000000005,A3_to_A3,68,246,21,29,,28,person,1785100,2022-07-07 00:21:31.960,other,68,246,21,29,,28,person,1785103,2022-07-07 00:21:32.396,other,0.43600000000000005,other_to_other,2.604,A3_to_other,00
517,248543,191,10,18,21,,47,person,1785904,2022-07-07 00:23:30.124,A1,120,113,32,34,236.0,26,person,1785992,2022-07-07 00:23:43.125,A1,13.001000000000001,A1_to_A1,137,112,36,43,,28,person,1785993,2022-07-07 00:23:43.269,A1,129,220,47,53,192.0,34,person,1786027,2022-07-07 00:23:48.261,A3,4.992,A1_to_A3,18.137,A1_to_A3,00
527,248583,110,192,47,56,,28,person,1786019,2022-07-07 00:23:47.087,other,113,217,46,56,174.0,30,person,1786027,2022-07-07 00:23:48.261,A3,1.1740000000000002,other_to_A3,110,192,47,56,,28,person,1786019,2022-07-07 00:23:47.087,other,113,217,46,56,174.0,30,person,1786027,2022-07-07 00:23:48.261,A3,1.1740000000000002,other_to_A3,1.1740000000000002,other_to_A3,00
