,id,x_min_S,y_min_S,w_min_S,h_min_S,bearing_min_S,confidence_min_S,name_min_S,frameId_min_S,timestamp_min_S,first_Area_S,x_max_S,y_max_S,w_max_S,h_max_S,bearing_max_S,confidence_max_S,name_max_S,frameId_max_S,timestamp_max_S,last_Area_S,stayTime_S,Path_S,x_min_E,y_min_E,w_min_E,h_min_E,bearing_min_E,confidence_min_E,name_min_E,frameId_min_E,timestamp_min_E,first_Area_E,x_max_E,y_max_E,w_max_E,h_max_E,bearing_max_E,confidence_max_E,name_max_E,frameId_max_E,timestamp_max_E,last_Area_E,stayTime_E,Path_E,stayTime,Path,o'clock
30,101,105,208,32,50,,28,person,356,2022-06-29 22:35:34.233,A3,90,189,18,34,321.0,25,person,359,2022-06-29 22:35:34.671,other,0.438,A3_to_other,95,197,17,31,,31,person,360,2022-06-29 22:35:34.838,other,95,197,17,31,,31,person,362,2022-06-29 22:35:35.121,other,0.28300000000000003,other_to_other,0.888,A3_to_other,22
98,389,174,24,14,22,,40,person,1286,2022-06-29 22:37:50.510,A1,174,23,9,18,355.0,35,person,1289,2022-06-29 22:37:50.950,A1,0.44,A1_to_A1,166,31,20,21,,32,car,1302,2022-06-29 22:37:52.894,A1,624,145,78,134,123.0,68,car,1345,2022-06-29 22:37:59.248,A2,6.354,A1_to_A2,8.738000000000001,A1_to_A2,22
113,434,181,16,15,23,,31,person,1385,2022-06-29 22:38:05.137,A1,414,174,41,70,134.0,28,person,1449,2022-06-29 22:38:14.593,A2,9.456000000000001,A1_to_A2,181,16,15,23,,31,person,1385,2022-06-29 22:38:05.137,A1,414,174,41,70,134.0,28,person,1449,2022-06-29 22:38:14.593,A2,9.456000000000001,A1_to_A2,9.456000000000001,A1_to_A2,22
114,446,68,253,23,40,,27,person,1420,2022-06-29 22:38:10.316,A3,68,253,23,40,,27,person,1422,2022-06-29 22:38:10.610,A3,0.29400000000000004,A3_to_A3,69,245,21,30,,27,person,1424,2022-06-29 22:38:10.904,other,69,245,21,30,,27,person,1426,2022-06-29 22:38:11.193,other,0.28900000000000003,other_to_other,0.877,A3_to_other,22
117,459,69,253,23,40,,28,person,1467,2022-06-29 22:38:17.250,A3,69,253,23,40,,28,person,1469,2022-06-29 22:38:17.561,A3,0.311,A3_to_A3,68,246,21,26,,29,person,1504,2022-06-29 22:38:22.694,other,68,246,21,26,,29,person,1506,2022-06-29 22:38:22.987,other,0.29300000000000004,other_to_other,5.737,A3_to_other,22
131,543,70,246,19,26,,30,person,1741,2022-06-29 22:38:57.572,A3,70,246,19,26,,30,person,1743,2022-06-29 22:38:57.861,A3,0.28900000000000003,A3_to_A3,68,246,20,27,,25,person,1751,2022-06-29 22:38:59.047,other,68,246,20,27,,25,person,1753,2022-06-29 22:38:59.334,other,0.28700000000000003,other_to_other,1.762,A3_to_other,22
213,852,450,262,33,48,,31,person,2786,2022-06-29 22:41:29.756,A2,624,94,21,56,90.0,62,person,2831,2022-06-29 22:41:36.296,A2,6.54,A2_to_A2,632,69,15,37,,39,person,2844,2022-06-29 22:41:38.190,other,635,65,10,35,59.0,32,person,2851,2022-06-29 22:41:39.208,A4,1.018,other_to_A4,9.452,A2_to_A4,22
281,1168,131,140,21,34,,43,person,3766,2022-06-29 22:43:52.193,A1,163,194,61,49,111.0,26,person,3789,2022-06-29 22:43:55.538,A1,3.345,A1_to_A1,160,231,52,51,,48,person,3797,2022-06-29 22:43:56.713,other,132,293,80,40,230.0,39,person,3812,2022-06-29 22:43:58.898,A3,2.185,other_to_A3,6.705,A1_to_A3,22
291,1237,69,245,21,27,,28,person,3936,2022-06-29 22:44:16.911,other,69,245,21,27,,28,person,3938,2022-06-29 22:44:17.208,other,0.29700000000000004,other_to_other,68,246,19,26,,26,person,3950,2022-06-29 22:44:18.967,other,70,247,19,27,110.0,30,person,3954,2022-06-29 22:44:19.544,A3,0.5770000000000001,other_to_A3,2.633,other_to_A3,22
343,1473,580,13,13,27,,26,person,4650,2022-06-29 22:46:01.679,A4,504,169,35,74,216.0,69,person,4703,2022-06-29 22:46:09.560,A2,7.881,A4_to_A2,490,189,35,77,,52,person,4704,2022-06-29 22:46:09.708,A2,457,224,35,66,222.0,63,person,4709,2022-06-29 22:46:10.447,A2,0.7390000000000001,A2_to_A2,8.768,A4_to_A2,22
368,1565,201,5,12,12,,28,person,4953,2022-06-29 22:46:46.519,A1,190,8,18,17,255.0,43,person,4959,2022-06-29 22:46:47.400,A1,0.881,A1_to_A1,162,40,48,49,,26,car,4989,2022-06-29 22:46:51.868,A1,536,95,163,100,102.0,36,car,5020,2022-06-29 22:46:56.457,A2,4.589,A1_to_A2,9.938,A1_to_A2,22
445,1899,68,251,22,38,,28,person,6097,2022-06-29 22:49:35.101,A3,71,243,20,27,20.0,25,person,6100,2022-06-29 22:49:35.536,other,0.43500000000000005,A3_to_other,68,251,22,38,,28,person,6097,2022-06-29 22:49:35.101,A3,71,243,20,27,20.0,25,person,6100,2022-06-29 22:49:35.536,other,0.43500000000000005,A3_to_other,0.43500000000000005,A3_to_other,22
523,2278,70,246,20,26,,25,person,7252,2022-06-29 22:52:24.879,A3,70,246,20,26,,25,person,7254,2022-06-29 22:52:25.166,A3,0.28700000000000003,A3_to_A3,69,246,20,28,,28,person,7256,2022-06-29 22:52:25.458,other,69,246,20,28,,28,person,7258,2022-06-29 22:52:25.748,other,0.29000000000000004,other_to_other,0.8690000000000001,A3_to_other,22
659,2868,163,79,30,36,,33,person,9260,2022-06-29 22:57:17.969,A1,436,120,66,63,99.0,42,person,9277,2022-06-29 22:57:20.432,A2,2.463,A1_to_A2,163,79,30,36,,33,person,9260,2022-06-29 22:57:17.969,A1,436,120,66,63,99.0,42,person,9277,2022-06-29 22:57:20.432,A2,2.463,A1_to_A2,2.463,A1_to_A2,22
