,id,x_min_S,y_min_S,w_min_S,h_min_S,bearing_min_S,confidence_min_S,name_min_S,frameId_min_S,timestamp_min_S,first_Area_S,x_max_S,y_max_S,w_max_S,h_max_S,bearing_max_S,confidence_max_S,name_max_S,frameId_max_S,timestamp_max_S,last_Area_S,stayTime_S,Path_S,x_min_E,y_min_E,w_min_E,h_min_E,bearing_min_E,confidence_min_E,name_min_E,frameId_min_E,timestamp_min_E,first_Area_E,x_max_E,y_max_E,w_max_E,h_max_E,bearing_max_E,confidence_max_E,name_max_E,frameId_max_E,timestamp_max_E,last_Area_E,stayTime_E,Path_E,stayTime,Path,o'clock
1,346448,623,353,33,71,,27,person,4144457,2022-06-19 10:00:53.638,A2,115,202,38,41,255.0,41,person,4144585,2022-06-19 10:01:12.371,other,18.733,A2_to_other,623,353,33,71,,27,person,4144457,2022-06-19 10:00:53.638,A2,115,202,38,41,255.0,41,person,4144585,2022-06-19 10:01:12.371,other,18.733,A2_to_other,18.733,A2_to_other,10
3,346450,629,309,21,34,,74,person,4144469,2022-06-19 10:00:55.392,A2,182,154,22,27,263.0,47,person,4144568,2022-06-19 10:01:09.872,A1,14.48,A2_to_A1,629,309,21,34,,74,person,4144469,2022-06-19 10:00:55.392,A2,182,154,22,27,263.0,47,person,4144568,2022-06-19 10:01:09.872,A1,14.48,A2_to_A1,14.48,A2_to_A1,10
10,346458,216,267,73,47,,29,person,4144503,2022-06-19 10:01:00.365,other,164,200,52,48,127.0,51,person,4144571,2022-06-19 10:01:10.326,A1,9.961,other_to_A1,216,267,73,47,,29,person,4144503,2022-06-19 10:01:00.365,other,164,200,52,48,127.0,51,person,4144571,2022-06-19 10:01:10.326,A1,9.961,other_to_A1,9.961,other_to_A1,10
12,346460,219,162,46,54,,59,person,4144520,2022-06-19 10:01:02.847,A1,210,204,36,58,171.0,65,person,4144537,2022-06-19 10:01:05.340,other,2.4930000000000003,A1_to_other,219,162,46,54,,59,person,4144520,2022-06-19 10:01:02.847,A1,210,204,36,58,171.0,65,person,4144537,2022-06-19 10:01:05.340,other,2.4930000000000003,A1_to_other,2.4930000000000003,A1_to_other,10
13,346462,184,158,44,47,,65,person,4144530,2022-06-19 10:01:04.315,A1,152,161,35,41,261.0,33,person,4144545,2022-06-19 10:01:06.502,A1,2.1870000000000003,A1_to_A1,131,187,37,51,,42,person,4144575,2022-06-19 10:01:10.957,other,135,195,48,51,152.0,29,person,4144580,2022-06-19 10:01:11.637,other,0.68,other_to_other,7.322,A1_to_other,10
14,346463,116,114,29,35,,29,person,4144536,2022-06-19 10:01:05.198,A1,116,114,29,35,,29,person,4144539,2022-06-19 10:01:05.630,A1,0.43200000000000005,A1_to_A1,523,304,48,44,,28,person,4144645,2022-06-19 10:01:21.160,A2,593,62,22,48,354.0,70,person,4144714,2022-06-19 10:01:31.279,A2,10.119,A2_to_A2,26.081000000000003,A1_to_A2,10
16,346471,113,234,57,60,,31,person,4144572,2022-06-19 10:01:10.470,A3,185,187,66,53,57.0,39,person,4144576,2022-06-19 10:01:11.058,A1,0.5880000000000001,A3_to_A1,113,234,57,60,,31,person,4144572,2022-06-19 10:01:10.470,A3,185,187,66,53,57.0,39,person,4144576,2022-06-19 10:01:11.058,A1,0.5880000000000001,A3_to_A1,0.5880000000000001,A3_to_A1,10
18,346475,227,134,43,35,,26,person,4144581,2022-06-19 10:01:11.783,A1,574,21,14,44,285.0,25,person,4144754,2022-06-19 10:01:37.154,A4,25.371000000000002,A1_to_A4,569,7,11,16,,28,person,4144758,2022-06-19 10:01:37.737,A4,569,7,11,16,,28,person,4144761,2022-06-19 10:01:38.178,A4,0.441,A4_to_A4,26.395000000000003,A1_to_A4,10
25,346488,631,347,18,56,,25,person,4144691,2022-06-19 10:01:27.903,A2,355,8,22,25,53.0,35,person,4144836,2022-06-19 10:01:49.185,A1,21.282,A2_to_A1,631,347,18,56,,25,person,4144691,2022-06-19 10:01:27.903,A2,355,8,22,25,53.0,35,person,4144836,2022-06-19 10:01:49.185,A1,21.282,A2_to_A1,21.282,A2_to_A1,10
28,346492,215,265,69,46,,26,person,4144731,2022-06-19 10:01:33.786,other,215,265,69,46,,26,person,4144734,2022-06-19 10:01:34.227,other,0.441,other_to_other,211,265,61,44,,28,person,4144744,2022-06-19 10:01:35.686,A3,209,264,60,44,279.0,28,person,4144748,2022-06-19 10:01:36.272,A3,0.5860000000000001,A3_to_A3,2.486,other_to_A3,10
42,346517,303,16,26,33,,35,person,4145045,2022-06-19 10:02:19.621,A1,414,11,16,24,87.0,36,person,4145054,2022-06-19 10:02:20.939,A2,1.318,A1_to_A2,436,22,18,25,,26,bicycle,4145056,2022-06-19 10:02:21.235,A2,434,22,16,25,274.0,27,bicycle,4145061,2022-06-19 10:02:21.978,A2,0.743,A2_to_A2,2.357,A1_to_A2,10
43,346518,192,141,24,46,,29,person,4145049,2022-06-19 10:02:20.213,A1,637,336,36,39,117.0,35,person,4145097,2022-06-19 10:02:27.271,A2,7.058000000000001,A1_to_A2,192,141,24,46,,29,person,4145049,2022-06-19 10:02:20.213,A1,637,336,36,39,117.0,35,person,4145097,2022-06-19 10:02:27.271,A2,7.058000000000001,A1_to_A2,7.058000000000001,A1_to_A2,10
51,346529,125,123,28,36,,38,person,4145339,2022-06-19 10:03:02.822,A1,188,146,38,47,102.0,39,person,4145375,2022-06-19 10:03:08.095,A1,5.273000000000001,A1_to_A1,187,150,41,48,,42,person,4145376,2022-06-19 10:03:08.244,A1,129,233,28,37,235.0,35,person,4145423,2022-06-19 10:03:15.152,A3,6.908,A1_to_A3,12.33,A1_to_A3,10
53,346532,128,163,34,34,,36,person,4145361,2022-06-19 10:03:06.044,A1,128,163,34,34,,36,person,4145364,2022-06-19 10:03:06.481,A1,0.437,A1_to_A1,120,168,14,36,,34,person,4145370,2022-06-19 10:03:07.363,A1,131,201,29,34,185.0,31,person,4145412,2022-06-19 10:03:13.540,other,6.1770000000000005,A1_to_other,7.496,A1_to_other,10
63,346549,570,11,12,23,,32,person,4145519,2022-06-19 10:03:29.250,A4,574,25,15,43,166.0,26,person,4145527,2022-06-19 10:03:30.423,A4,1.173,A4_to_A4,524,26,27,55,,26,person,4145563,2022-06-19 10:03:35.735,A2,524,26,27,55,,26,person,4145566,2022-06-19 10:03:36.176,A2,0.441,A2_to_A2,6.926,A4_to_A2,10
64,346552,126,293,65,42,,35,person,4145540,2022-06-19 10:03:32.329,A3,621,313,70,58,117.0,54,person,4145602,2022-06-19 10:03:41.488,A2,9.159,A3_to_A2,126,293,65,42,,35,person,4145540,2022-06-19 10:03:32.329,A3,621,313,70,58,117.0,54,person,4145602,2022-06-19 10:03:41.488,A2,9.159,A3_to_A2,9.159,A3_to_A2,10
