,id,x_min_S,y_min_S,w_min_S,h_min_S,bearing_min_S,confidence_min_S,name_min_S,frameId_min_S,timestamp_min_S,first_Area_S,x_max_S,y_max_S,w_max_S,h_max_S,bearing_max_S,confidence_max_S,name_max_S,frameId_max_S,timestamp_max_S,last_Area_S,stayTime_S,Path_S,x_min_E,y_min_E,w_min_E,h_min_E,bearing_min_E,confidence_min_E,name_min_E,frameId_min_E,timestamp_min_E,first_Area_E,x_max_E,y_max_E,w_max_E,h_max_E,bearing_max_E,confidence_max_E,name_max_E,frameId_max_E,timestamp_max_E,last_Area_E,stayTime_E,Path_E,stayTime,Path,o'clock
10,606352,114,209,46,47,,37,person,7074291,2022-06-24 09:00:51.391,other,92,114,24,28,292.0,44,person,7074346,2022-06-24 09:00:59.495,A1,8.104000000000001,other_to_A1,114,209,46,47,,37,person,7074291,2022-06-24 09:00:51.391,other,92,114,24,28,292.0,44,person,7074346,2022-06-24 09:00:59.495,A1,8.104000000000001,other_to_A1,8.104000000000001,other_to_A1,09
12,606354,91,402,56,44,,27,person,7074299,2022-06-24 09:00:52.568,A3,81,397,67,49,295.0,46,person,7074303,2022-06-24 09:00:53.152,A3,0.5840000000000001,A3_to_A3,175,148,30,41,,36,person,7074370,2022-06-24 09:01:03.044,A1,174,144,33,44,356.0,30,person,7074378,2022-06-24 09:01:04.220,A1,1.1760000000000002,A1_to_A1,11.652000000000001,A3_to_A1,09
14,606359,107,288,56,51,,34,person,7074341,2022-06-24 09:00:58.754,A3,115,259,49,51,15.0,38,person,7074348,2022-06-24 09:00:59.794,A3,1.04,A3_to_A3,118,243,49,50,,76,person,7074349,2022-06-24 09:00:59.941,A3,150,154,41,50,45.0,26,person,7074402,2022-06-24 09:01:07.744,A1,7.803000000000001,A3_to_A1,8.99,A3_to_A1,09
25,606375,41,251,34,41,,30,person,7074608,2022-06-24 09:01:37.892,other,69,256,44,40,98.0,33,person,7074616,2022-06-24 09:01:39.063,A3,1.171,other_to_A3,41,251,34,41,,30,person,7074608,2022-06-24 09:01:37.892,other,69,256,44,40,98.0,33,person,7074616,2022-06-24 09:01:39.063,A3,1.171,other_to_A3,1.171,other_to_A3,09
37,606388,66,246,20,24,,26,person,7074999,2022-06-24 09:02:35.404,other,66,246,20,24,,26,person,7075002,2022-06-24 09:02:35.839,other,0.43500000000000005,other_to_other,95,244,26,36,,26,person,7075032,2022-06-24 09:02:40.260,A3,96,245,24,35,128.0,30,person,7075049,2022-06-24 09:02:42.714,A3,2.454,A3_to_A3,7.3100000000000005,other_to_A3,09
38,606392,624,373,27,35,,66,person,7075023,2022-06-24 09:02:38.919,A2,80,130,33,34,284.0,35,person,7075108,2022-06-24 09:02:51.302,A1,12.383000000000001,A2_to_A1,83,131,27,35,,28,person,7075109,2022-06-24 09:02:51.448,A1,83,131,27,35,,28,person,7075112,2022-06-24 09:02:51.882,A1,0.43400000000000005,A1_to_A1,12.963000000000001,A2_to_A1,09
48,606411,120,216,24,46,,26,person,7075196,2022-06-24 09:03:04.098,A3,120,216,24,46,174.0,27,person,7075211,2022-06-24 09:03:06.285,A3,2.1870000000000003,A3_to_A3,120,213,26,41,,25,person,7075312,2022-06-24 09:03:21.016,other,123,151,37,38,346.0,54,person,7075333,2022-06-24 09:03:24.070,A1,3.0540000000000003,other_to_A1,19.972,A3_to_A1,09
78,606492,256,466,54,26,,42,person,7075793,2022-06-24 09:04:31.550,A3,408,337,43,46,50.0,39,person,7075808,2022-06-24 09:04:33.739,other,2.189,A3_to_other,256,466,54,26,,42,person,7075793,2022-06-24 09:04:31.550,A3,408,337,43,46,50.0,39,person,7075808,2022-06-24 09:04:33.739,other,2.189,A3_to_other,2.189,A3_to_other,09
90,606515,110,308,58,50,,34,person,7075920,2022-06-24 09:04:50.124,A3,38,272,51,46,296.0,29,person,7075926,2022-06-24 09:04:51.007,other,0.883,A3_to_other,110,308,58,50,,34,person,7075920,2022-06-24 09:04:50.124,A3,38,272,51,46,296.0,29,person,7075926,2022-06-24 09:04:51.007,other,0.883,A3_to_other,0.883,A3_to_other,09
98,606526,142,29,12,18,,25,person,7075985,2022-06-24 09:04:59.663,A1,142,29,10,18,266.0,47,person,7075990,2022-06-24 09:05:00.388,A1,0.7250000000000001,A1_to_A1,131,59,33,32,,36,car,7076054,2022-06-24 09:05:09.691,A1,715,153,26,97,107.0,44,car,7076077,2022-06-24 09:05:13.126,other,3.435,A1_to_other,13.463000000000001,A1_to_other,09
109,606546,56,254,41,38,,28,person,7076076,2022-06-24 09:05:12.990,other,56,254,41,38,,28,person,7076079,2022-06-24 09:05:13.404,other,0.41400000000000003,other_to_other,62,266,39,50,,26,person,7076101,2022-06-24 09:05:16.631,A3,62,266,39,50,245.0,26,person,7076105,2022-06-24 09:05:17.221,A3,0.5900000000000001,A3_to_A3,4.231,other_to_A3,09
113,606563,65,251,23,33,,28,person,7076191,2022-06-24 09:05:29.876,other,63,252,25,34,232.0,25,person,7076196,2022-06-24 09:05:30.618,other,0.742,other_to_other,106,302,63,58,,30,person,7076278,2022-06-24 09:05:42.689,A3,106,302,63,58,,30,person,7076281,2022-06-24 09:05:43.126,A3,0.437,A3_to_A3,13.25,other_to_A3,09
115,606570,129,196,50,79,,26,person,7076242,2022-06-24 09:05:37.385,other,131,195,49,79,78.0,29,person,7076248,2022-06-24 09:05:38.265,other,0.88,other_to_other,125,145,37,35,,27,person,7076295,2022-06-24 09:05:45.207,A1,125,157,36,57,180.0,27,person,7076324,2022-06-24 09:05:49.495,A1,4.288,A1_to_A1,12.110000000000001,other_to_A1,09
145,606658,65,253,23,38,,26,person,7076761,2022-06-24 09:06:53.622,A3,65,254,22,41,166.0,34,person,7076769,2022-06-24 09:06:54.796,A3,1.1740000000000002,A3_to_A3,65,252,22,34,,26,person,7076772,2022-06-24 09:06:55.234,other,65,252,22,34,,26,person,7076775,2022-06-24 09:06:55.675,other,0.441,other_to_other,2.053,A3_to_other,09
156,606685,65,252,21,35,,26,person,7076902,2022-06-24 09:07:14.188,other,65,252,21,35,,26,person,7076905,2022-06-24 09:07:14.638,other,0.45,other_to_other,66,252,20,34,,25,person,7076912,2022-06-24 09:07:15.653,A3,66,251,20,33,1.0,27,person,7076916,2022-06-24 09:07:16.240,A3,0.5870000000000001,A3_to_A3,2.052,other_to_A3,09
158,606691,66,252,20,34,,27,person,7076930,2022-06-24 09:07:18.278,A3,66,252,20,34,,27,person,7076933,2022-06-24 09:07:18.713,A3,0.43500000000000005,A3_to_A3,65,252,21,33,,26,person,7077097,2022-06-24 09:07:42.588,other,65,252,21,33,,26,person,7077100,2022-06-24 09:07:43.025,other,0.437,other_to_other,24.747,A3_to_other,09
180,606756,493,11,12,24,,60,person,7077202,2022-06-24 09:07:58.016,A2,515,12,12,26,94.0,33,person,7077209,2022-06-24 09:07:59.047,A2,1.0310000000000001,A2_to_A2,545,13,14,28,,32,person,7077210,2022-06-24 09:07:59.193,other,545,13,14,28,,32,person,7077213,2022-06-24 09:07:59.630,other,0.437,other_to_other,1.614,A2_to_other,09
183,606760,140,30,10,19,,27,person,7077210,2022-06-24 09:07:59.193,A1,141,29,11,19,41.0,39,person,7077214,2022-06-24 09:07:59.775,A1,0.5820000000000001,A1_to_A1,620,32,39,63,,34,car,7077270,2022-06-24 09:08:07.951,A4,616,19,41,47,343.0,35,car,7077276,2022-06-24 09:08:08.826,A4,0.875,A4_to_A4,9.633000000000001,A1_to_A4,09
191,606776,136,211,34,56,,31,person,7077348,2022-06-24 09:08:19.419,other,138,210,33,58,70.0,29,person,7077353,2022-06-24 09:08:20.156,other,0.7370000000000001,other_to_other,116,163,24,35,,46,person,7077432,2022-06-24 09:08:31.771,A1,125,137,36,38,350.0,37,person,7077460,2022-06-24 09:08:35.865,A1,4.094,A1_to_A1,16.446,other_to_A1,09
236,606890,606,24,14,32,,25,person,7078145,2022-06-24 09:10:16.512,A4,541,18,33,40,275.0,33,person,7078156,2022-06-24 09:10:18.144,other,1.6320000000000001,A4_to_other,606,24,14,32,,25,person,7078145,2022-06-24 09:10:16.512,A4,541,18,33,40,275.0,33,person,7078156,2022-06-24 09:10:18.144,other,1.6320000000000001,A4_to_other,1.6320000000000001,A4_to_other,09
245,606906,57,465,60,30,,39,person,7078236,2022-06-24 09:10:29.843,A3,64,465,68,30,92.0,45,person,7078240,2022-06-24 09:10:30.431,A3,0.5880000000000001,A3_to_A3,94,132,22,29,,29,person,7078332,2022-06-24 09:10:43.971,A1,94,132,22,29,,29,person,7078335,2022-06-24 09:10:44.411,A1,0.44,A1_to_A1,14.568000000000001,A3_to_A1,09
255,606929,152,23,11,17,,26,person,7078357,2022-06-24 09:10:47.653,A1,150,20,9,17,321.0,28,person,7078362,2022-06-24 09:10:48.397,A1,0.744,A1_to_A1,143,40,41,30,,75,car,7078560,2022-06-24 09:11:17.593,A1,678,121,94,136,105.0,48,car,7078584,2022-06-24 09:11:21.097,A2,3.504,A1_to_A2,33.444,A1_to_A2,09
258,606936,66,245,21,27,,26,person,7078404,2022-06-24 09:10:54.580,other,60,270,43,44,193.0,36,person,7078412,2022-06-24 09:10:55.763,A3,1.183,other_to_A3,66,245,21,27,,26,person,7078404,2022-06-24 09:10:54.580,other,60,270,43,44,193.0,36,person,7078412,2022-06-24 09:10:55.763,A3,1.183,other_to_A3,1.183,other_to_A3,09
259,606937,616,322,47,72,,58,person,7078410,2022-06-24 09:10:55.469,A2,196,125,22,29,296.0,27,person,7078457,2022-06-24 09:11:02.401,A1,6.932,A2_to_A1,100,115,22,31,,31,person,7078505,2022-06-24 09:11:09.457,A1,93,113,20,29,284.0,25,person,7078511,2022-06-24 09:11:10.334,A1,0.877,A1_to_A1,14.865,A2_to_A1,09
264,606957,106,301,50,61,,27,person,7078547,2022-06-24 09:11:15.637,A3,177,176,65,89,117.0,49,person,7078586,2022-06-24 09:11:21.387,A1,5.75,A3_to_A1,106,301,50,61,,27,person,7078547,2022-06-24 09:11:15.637,A3,177,176,65,89,117.0,49,person,7078586,2022-06-24 09:11:21.387,A1,5.75,A3_to_A1,5.75,A3_to_A1,09
276,606988,167,418,115,56,,55,person,7078778,2022-06-24 09:11:49.578,A3,441,5,20,15,290.0,35,person,7078887,2022-06-24 09:12:05.523,A2,15.945,A3_to_A2,424,4,20,10,,26,person,7078891,2022-06-24 09:12:06.113,A2,422,4,18,10,266.0,29,person,7078895,2022-06-24 09:12:06.696,A2,0.5830000000000001,A2_to_A2,17.118000000000002,A3_to_A2,09
288,607013,76,127,17,23,,29,person,7078997,2022-06-24 09:12:21.633,A1,138,204,36,47,204.0,31,person,7079052,2022-06-24 09:12:29.702,other,8.069,A1_to_other,76,127,17,23,,29,person,7078997,2022-06-24 09:12:21.633,A1,138,204,36,47,204.0,31,person,7079052,2022-06-24 09:12:29.702,other,8.069,A1_to_other,8.069,A1_to_other,09
290,607016,391,68,12,27,,39,person,7079002,2022-06-24 09:12:22.361,A2,360,62,11,27,272.0,34,person,7079016,2022-06-24 09:12:24.391,A2,2.0300000000000002,A2_to_A2,361,62,10,26,,30,person,7079022,2022-06-24 09:12:25.278,A2,322,56,9,24,278.0,63,person,7079055,2022-06-24 09:12:30.149,A1,4.871,A2_to_A1,7.788,A2_to_A1,09
300,607037,236,52,12,27,,30,person,7079061,2022-06-24 09:12:31.031,A1,236,52,12,27,,30,person,7079064,2022-06-24 09:12:31.467,A1,0.43600000000000005,A1_to_A1,249,61,27,25,,26,person,7079065,2022-06-24 09:12:31.614,A1,333,72,32,27,97.0,34,person,7079072,2022-06-24 09:12:32.637,A2,1.0230000000000001,A1_to_A2,1.606,A1_to_A2,09
310,607052,560,21,23,29,,37,person,7079086,2022-06-24 09:12:34.692,A4,652,73,16,32,119.0,35,person,7079097,2022-06-24 09:12:36.326,other,1.6340000000000001,A4_to_other,560,21,23,29,,37,person,7079086,2022-06-24 09:12:34.692,A4,652,73,16,32,119.0,35,person,7079097,2022-06-24 09:12:36.326,other,1.6340000000000001,A4_to_other,1.6340000000000001,A4_to_other,09
