,id,x_min_S,y_min_S,w_min_S,h_min_S,bearing_min_S,confidence_min_S,name_min_S,frameId_min_S,timestamp_min_S,first_Area_S,x_max_S,y_max_S,w_max_S,h_max_S,bearing_max_S,confidence_max_S,name_max_S,frameId_max_S,timestamp_max_S,last_Area_S,stayTime_S,Path_S,x_min_E,y_min_E,w_min_E,h_min_E,bearing_min_E,confidence_min_E,name_min_E,frameId_min_E,timestamp_min_E,first_Area_E,x_max_E,y_max_E,w_max_E,h_max_E,bearing_max_E,confidence_max_E,name_max_E,frameId_max_E,timestamp_max_E,last_Area_E,stayTime_E,Path_E,stayTime,Path,o'clock
93,294011,189,409,59,55,,28,person,3013252,2022-07-20 00:08:04.168,A3,164,196,42,63,0.0,46,person,3013290,2022-07-20 00:08:09.686,A1,5.518000000000001,A3_to_A1,189,409,59,55,,28,person,3013252,2022-07-20 00:08:04.168,A3,164,196,42,63,0.0,46,person,3013290,2022-07-20 00:08:09.686,A1,5.518000000000001,A3_to_A1,5.518000000000001,A3_to_A1,00
96,294017,160,320,58,55,,75,person,3013270,2022-07-20 00:08:06.784,A3,166,232,57,49,10.0,77,person,3013282,2022-07-20 00:08:08.527,other,1.743,A3_to_other,160,320,58,55,,75,person,3013270,2022-07-20 00:08:06.784,A3,166,232,57,49,10.0,77,person,3013282,2022-07-20 00:08:08.527,other,1.743,A3_to_other,1.743,A3_to_other,00
100,294028,143,191,22,37,,25,person,3013319,2022-07-20 00:08:13.890,A1,140,189,16,30,303.0,54,person,3013323,2022-07-20 00:08:14.469,A1,0.5790000000000001,A1_to_A1,124,217,18,27,,26,person,3013342,2022-07-20 00:08:17.230,A3,124,216,17,28,341.0,28,person,3013347,2022-07-20 00:08:17.955,other,0.7250000000000001,A3_to_other,4.065,A1_to_other,00
197,294256,129,58,25,30,,27,person,3016409,2022-07-20 00:15:42.584,A1,129,58,25,30,,27,person,3016412,2022-07-20 00:15:43.020,A1,0.43600000000000005,A1_to_A1,136,50,45,37,,31,car,3016414,2022-07-20 00:15:43.309,A1,455,53,199,101,93.0,31,car,3016440,2022-07-20 00:15:47.085,A2,3.7760000000000002,A1_to_A2,4.501,A1_to_A2,00
213,294282,128,49,30,52,,30,person,3016645,2022-07-20 00:16:16.818,A1,131,59,27,29,43.0,35,person,3016658,2022-07-20 00:16:18.706,A1,1.8880000000000001,A1_to_A1,144,49,34,30,,34,car,3016689,2022-07-20 00:16:23.209,A1,603,30,74,62,122.0,25,car,3016747,2022-07-20 00:16:31.620,A4,8.411000000000001,A1_to_A4,14.802000000000001,A1_to_A4,00
254,294370,70,253,24,42,,27,person,3017502,2022-07-20 00:18:21.115,A3,70,253,24,42,,27,person,3017505,2022-07-20 00:18:21.550,A3,0.43500000000000005,A3_to_A3,57,206,23,32,,25,person,3017534,2022-07-20 00:18:25.767,other,57,206,23,32,,25,person,3017537,2022-07-20 00:18:26.200,other,0.43300000000000005,other_to_other,5.085,A3_to_other,00
433,294741,68,252,22,38,,32,person,3022025,2022-07-20 00:29:20.261,A3,68,252,22,38,,32,person,3022028,2022-07-20 00:29:20.698,A3,0.437,A3_to_A3,68,245,19,26,,25,person,3022089,2022-07-20 00:29:29.590,other,68,246,20,27,157.0,25,person,3022093,2022-07-20 00:29:30.169,other,0.5790000000000001,other_to_other,9.908000000000001,A3_to_other,00
435,294746,131,60,24,27,,34,person,3022045,2022-07-20 00:29:23.174,A1,130,60,26,27,223.0,25,person,3022057,2022-07-20 00:29:24.929,A1,1.7550000000000001,A1_to_A1,142,47,49,41,,72,car,3022075,2022-07-20 00:29:27.561,A1,443,49,138,86,94.0,43,car,3022092,2022-07-20 00:29:30.023,A2,2.462,A1_to_A2,6.849,A1_to_A2,00
475,294838,130,58,26,31,,40,person,3022993,2022-07-20 00:31:41.873,A1,442,67,144,66,102.0,73,car,3023022,2022-07-20 00:31:46.091,A2,4.218,A1_to_A2,130,58,26,31,,40,person,3022993,2022-07-20 00:31:41.873,A1,442,67,144,66,102.0,73,car,3023022,2022-07-20 00:31:46.091,A2,4.218,A1_to_A2,4.218,A1_to_A2,00
572,295068,265,173,53,68,,29,person,3025352,2022-07-20 00:37:24.737,A2,219,155,53,58,290.0,35,person,3025360,2022-07-20 00:37:25.899,A1,1.1620000000000001,A2_to_A1,242,170,23,32,,25,person,3025362,2022-07-20 00:37:26.190,other,242,170,23,32,,25,person,3025365,2022-07-20 00:37:26.623,other,0.43300000000000005,other_to_other,1.8860000000000001,A2_to_other,00
