,id,x_min_S,y_min_S,w_min_S,h_min_S,bearing_min_S,confidence_min_S,name_min_S,frameId_min_S,timestamp_min_S,first_Area_S,x_max_S,y_max_S,w_max_S,h_max_S,bearing_max_S,confidence_max_S,name_max_S,frameId_max_S,timestamp_max_S,last_Area_S,stayTime_S,Path_S,x_min_E,y_min_E,w_min_E,h_min_E,bearing_min_E,confidence_min_E,name_min_E,frameId_min_E,timestamp_min_E,first_Area_E,x_max_E,y_max_E,w_max_E,h_max_E,bearing_max_E,confidence_max_E,name_max_E,frameId_max_E,timestamp_max_E,last_Area_E,stayTime_E,Path_E,stayTime,Path,o'clock
14,682926,474,17,23,36,,26,person,7662853,2022-06-25 09:00:54.078,A2,204,364,66,44,232.0,31,person,7662915,2022-06-25 09:01:03.144,A3,9.066,A2_to_A3,474,17,23,36,,26,person,7662853,2022-06-25 09:00:54.078,A2,204,364,66,44,232.0,31,person,7662915,2022-06-25 09:01:03.144,A3,9.066,A2_to_A3,9.066,A2_to_A3,09
27,682943,499,12,20,25,,65,person,7663307,2022-06-25 09:02:00.319,A2,183,378,93,46,222.0,44,person,7663374,2022-06-25 09:02:10.073,A3,9.754000000000001,A2_to_A3,499,12,20,25,,65,person,7663307,2022-06-25 09:02:00.319,A2,183,378,93,46,222.0,44,person,7663374,2022-06-25 09:02:10.073,A3,9.754000000000001,A2_to_A3,9.754000000000001,A2_to_A3,09
36,682955,111,232,45,46,,33,person,7663405,2022-06-25 09:02:14.601,A3,111,232,45,46,,33,person,7663408,2022-06-25 09:02:15.032,A3,0.43100000000000005,A3_to_A3,130,197,47,44,,26,person,7663415,2022-06-25 09:02:16.060,other,143,162,43,48,26.0,32,person,7663428,2022-06-25 09:02:17.961,A1,1.901,other_to_A1,3.3600000000000003,A3_to_A1,09
81,683013,547,29,17,36,,25,person,7664061,2022-06-25 09:03:50.659,other,576,42,15,32,113.0,31,person,7664070,2022-06-25 09:03:51.984,other,1.3250000000000002,other_to_other,589,47,14,33,,25,person,7664073,2022-06-25 09:03:52.429,A4,589,47,14,33,,25,person,7664076,2022-06-25 09:03:52.863,A4,0.43400000000000005,A4_to_A4,2.204,other_to_A4,09
83,683019,602,53,18,31,,40,person,7664076,2022-06-25 09:03:52.863,A4,627,71,19,35,126.0,35,person,7664084,2022-06-25 09:03:54.029,A2,1.1660000000000001,A4_to_A2,602,53,18,31,,40,person,7664076,2022-06-25 09:03:52.863,A4,627,71,19,35,126.0,35,person,7664084,2022-06-25 09:03:54.029,A2,1.1660000000000001,A4_to_A2,1.1660000000000001,A4_to_A2,09
92,683031,602,208,70,79,,34,person,7664329,2022-06-25 09:04:29.978,A2,151,85,31,31,269.0,50,person,7664363,2022-06-25 09:04:34.942,A1,4.964,A2_to_A1,602,208,70,79,,34,person,7664329,2022-06-25 09:04:29.978,A2,151,85,31,31,269.0,50,person,7664363,2022-06-25 09:04:34.942,A1,4.964,A2_to_A1,4.964,A2_to_A1,09
127,683082,189,6,17,14,,29,person,7665263,2022-06-25 09:06:48.001,A1,189,6,17,14,,29,person,7665266,2022-06-25 09:06:48.445,A1,0.444,A1_to_A1,139,50,39,46,,52,car,7665304,2022-06-25 09:06:53.922,A1,700,152,63,138,107.0,52,car,7665325,2022-06-25 09:06:56.984,A2,3.0620000000000003,A1_to_A2,8.983,A1_to_A2,09
136,683095,606,356,55,35,,62,person,7665398,2022-06-25 09:07:07.638,A2,510,310,37,40,294.0,47,person,7665410,2022-06-25 09:07:09.398,A2,1.76,A2_to_A2,78,125,20,23,,26,person,7665509,2022-06-25 09:07:23.870,A1,78,125,20,23,,26,person,7665512,2022-06-25 09:07:24.312,A1,0.442,A1_to_A1,16.674,A2_to_A1,09
152,683115,235,347,64,43,,50,person,7665989,2022-06-25 09:08:34.883,A3,555,13,26,35,344.0,30,person,7666073,2022-06-25 09:08:47.141,A4,12.258000000000001,A3_to_A4,235,347,64,43,,50,person,7665989,2022-06-25 09:08:34.883,A3,555,13,26,35,344.0,30,person,7666073,2022-06-25 09:08:47.141,A4,12.258000000000001,A3_to_A4,12.258000000000001,A3_to_A4,09
153,683116,305,321,74,80,,62,person,7665991,2022-06-25 09:08:35.188,A3,341,266,53,52,33.0,34,person,7665997,2022-06-25 09:08:36.069,A2,0.881,A3_to_A2,333,269,70,81,,83,person,7665998,2022-06-25 09:08:36.216,A2,342,231,70,66,13.0,46,person,7666002,2022-06-25 09:08:36.800,A2,0.5840000000000001,A2_to_A2,1.612,A3_to_A2,09
161,683132,93,127,25,31,,38,person,7666333,2022-06-25 09:09:25.413,A1,135,189,39,54,180.0,26,person,7666375,2022-06-25 09:09:31.702,other,6.289000000000001,A1_to_other,115,215,43,51,,52,person,7666379,2022-06-25 09:09:32.311,A3,119,216,50,49,106.0,54,person,7666383,2022-06-25 09:09:32.894,A3,0.5830000000000001,A3_to_A3,7.481000000000001,A1_to_A3,09
173,683147,160,134,48,46,,26,person,7666707,2022-06-25 09:10:20.393,A1,160,134,48,46,,26,person,7666710,2022-06-25 09:10:20.823,A1,0.43000000000000005,A1_to_A1,156,135,15,32,,35,person,7666729,2022-06-25 09:10:23.629,A1,577,317,63,48,121.0,38,person,7666784,2022-06-25 09:10:31.780,A2,8.151,A1_to_A2,11.387,A1_to_A2,09
174,683149,191,152,27,30,,26,person,7666715,2022-06-25 09:10:21.539,A1,235,165,34,34,106.0,36,person,7666726,2022-06-25 09:10:23.182,other,1.643,A1_to_other,205,142,31,45,,28,person,7666728,2022-06-25 09:10:23.479,A1,571,326,67,52,201.0,26,person,7666786,2022-06-25 09:10:32.072,A2,8.593,A1_to_A2,10.533000000000001,A1_to_A2,09
223,683218,177,354,51,31,,37,person,7667633,2022-06-25 09:12:36.228,A3,366,3,13,14,10.0,26,person,7667744,2022-06-25 09:12:52.640,A1,16.412000000000003,A3_to_A1,177,354,51,31,,37,person,7667633,2022-06-25 09:12:36.228,A3,366,3,13,14,10.0,26,person,7667744,2022-06-25 09:12:52.640,A1,16.412000000000003,A3_to_A1,16.412000000000003,A3_to_A1,09
224,683219,225,271,85,61,,27,person,7667663,2022-06-25 09:12:40.567,other,225,272,88,61,198.0,27,person,7667667,2022-06-25 09:12:41.180,A3,0.613,other_to_A3,225,271,85,61,,27,person,7667663,2022-06-25 09:12:40.567,other,225,272,88,61,198.0,27,person,7667667,2022-06-25 09:12:41.180,A3,0.613,other_to_A3,0.613,other_to_A3,09
225,683220,600,46,37,42,,36,person,7667663,2022-06-25 09:12:40.567,A4,650,79,17,37,123.0,31,person,7667669,2022-06-25 09:12:41.481,A2,0.914,A4_to_A2,600,46,37,42,,36,person,7667663,2022-06-25 09:12:40.567,A4,650,79,17,37,123.0,31,person,7667669,2022-06-25 09:12:41.481,A2,0.914,A4_to_A2,0.914,A4_to_A2,09
228,683223,202,445,46,27,,39,person,7667679,2022-06-25 09:12:42.939,A3,378,6,15,18,72.0,33,person,7667767,2022-06-25 09:12:56.077,other,13.138000000000002,A3_to_other,202,445,46,27,,39,person,7667679,2022-06-25 09:12:42.939,A3,378,6,15,18,72.0,33,person,7667767,2022-06-25 09:12:56.077,other,13.138000000000002,A3_to_other,13.138000000000002,A3_to_other,09
231,683226,228,338,40,46,,42,person,7667691,2022-06-25 09:12:44.718,A3,372,5,15,17,340.0,25,person,7667765,2022-06-25 09:12:55.775,other,11.057,A3_to_other,228,338,40,46,,42,person,7667691,2022-06-25 09:12:44.718,A3,372,5,15,17,340.0,25,person,7667765,2022-06-25 09:12:55.775,other,11.057,A3_to_other,11.057,A3_to_other,09
235,683234,361,25,11,15,,25,person,7667743,2022-06-25 09:12:52.495,other,372,50,14,35,156.0,52,person,7667746,2022-06-25 09:12:53.013,A2,0.518,other_to_A2,361,25,11,15,,25,person,7667743,2022-06-25 09:12:52.495,other,372,50,14,35,156.0,52,person,7667746,2022-06-25 09:12:53.013,A2,0.518,other_to_A2,0.518,other_to_A2,09
267,683286,110,210,42,47,,39,person,7668555,2022-06-25 09:14:52.077,A3,110,210,42,47,,39,person,7668558,2022-06-25 09:14:52.521,A3,0.444,A3_to_A3,83,125,27,41,,26,person,7668651,2022-06-25 09:15:06.111,A1,84,124,26,43,34.0,26,person,7668655,2022-06-25 09:15:06.688,A1,0.5770000000000001,A1_to_A1,14.611,A3_to_A1,09
271,683294,501,13,21,26,,53,person,7668600,2022-06-25 09:14:58.635,A2,188,359,24,25,211.0,56,person,7668703,2022-06-25 09:15:13.685,A3,15.05,A2_to_A3,177,375,44,23,,27,person,7668705,2022-06-25 09:15:13.974,A3,177,375,44,23,,27,person,7668708,2022-06-25 09:15:14.410,A3,0.43600000000000005,A3_to_A3,15.775,A2_to_A3,09
284,683326,140,33,10,19,,29,person,7669111,2022-06-25 09:16:13.108,A1,140,33,10,19,,29,person,7669114,2022-06-25 09:16:13.536,A1,0.42800000000000005,A1_to_A1,133,59,24,29,,25,car,7669115,2022-06-25 09:16:13.677,A1,713,141,40,114,106.0,46,truck,7669142,2022-06-25 09:16:17.593,other,3.9160000000000004,A1_to_other,4.485,A1_to_other,09
300,683359,238,194,79,67,,47,person,7669595,2022-06-25 09:17:24.670,A2,227,191,88,61,282.0,47,person,7669600,2022-06-25 09:17:25.450,other,0.78,A2_to_other,227,195,49,52,,26,person,7669601,2022-06-25 09:17:25.594,other,227,195,49,52,,26,person,7669604,2022-06-25 09:17:26.027,other,0.43300000000000005,other_to_other,1.357,A2_to_other,09
317,683384,185,446,69,48,,25,person,7669953,2022-06-25 09:18:17.032,A3,390,9,15,24,60.0,60,person,7670037,2022-06-25 09:18:29.228,A2,12.196000000000002,A3_to_A2,185,446,69,48,,25,person,7669953,2022-06-25 09:18:17.032,A3,390,9,15,24,60.0,60,person,7670037,2022-06-25 09:18:29.228,A2,12.196000000000002,A3_to_A2,12.196000000000002,A3_to_A2,09
